hs12629 ENSG00000138083
hs12540 DIP:505N ENSG00000104976
hs12541 ENSG00000104808
hs17710 ENSG00000189209
hs12543 ENSG00000111218
hs12544 ENSG00000198829
hs12545 ENSG00000136110
hs17714 ENSG00000104671
hs17715 ENSG00000185651
hs6898 ENSG00000188219
hs6899 ENSG00000183935
hs6894 DIP:1059N
hs6895 ENSG00000072803 DIP:27593N
hs6896 ENSG00000161328
hs6897 ENSG00000196646
hs6890 ENSG00000138061
hs6891 ENSG00000178149
hs6892 ENSG00000135624 NP_006420.1
hs6893 ENSG00000104725 AAH39237.1
hs3912 ENSG00000138131
hs3913 ENSG00000173827 ENSG00000166007
hs3910 ENSG00000187091
hs3911 ENSG00000158863
hs3916 ENSG00000090565
hs16047 ENSG00000181965
hs3914 ENSG00000102384
hs3915 ENSG00000083535
hs3918 ENSG00000117597
hs3919 ENSG00000131480
hs11017 ENSG00000145743
hs11016 ENSG00000180828
hs6270 ENSG00000139370
hs6271 NP_001316.1 ENSG00000101811
hs6272 ENSG00000147065
hs6273 ENSG00000101849
hs6274 ENSG00000106070
hs6275 ENSG00000149646
hs6276 ENSG00000176715
hs6277 ENSG00000196172
hs6278 ENSG00000150054
hs6279 ENSG00000173714
hs3000 ENSG00000103126
hs3001 ENSG00000007384
hs3002 ENSG00000187764
hs3003 AAG45145.1
hs3004 ENSG00000134698
hs3005 ENSG00000069018
hs3006 ENSG00000125207
hs3007 ENSG00000107719
hs3008 ENSG00000085840
hs3009 ENSG00000178171
hs4100 ENSG00000168924
hs848 ENSG00000026036
hs849 ENSG00000150471
hs4362 ENSG00000138686
hs4363 ENSG00000006747
hs4364 ENSG00000128573
hs4365 ENSG00000156599
hs4366 ENSG00000183486
hs4367 ENSG00000173811
hs4368 ENSG00000054282
hs4369 ENSG00000168457
hs842 ENSG00000177675
hs843 ENSG00000119684
hs844 DIP:668N ENSG00000173482
hs845 ENSG00000163125
hs846 ENSG00000188355
hs847 ENSG00000136813
hs20731 ENSG00000145824
hs20998 ENSG00000196740
hs20999 ENSG00000167183
hs20992 ENSG00000197764
hs20993 ENSG00000182841
hs20990 ENSG00000126233
hs20991 ENSG00000184900 P55854
hs20996 ENSG00000123689
hs20997 ENSG00000145022
hs20994 ENSG00000132286
hs20995 ENSG00000175538
hs549 ENSG00000107890
hs548 ENSG00000061987
hs545 AAD29952.1 NP_003015.1
hs544 ENSG00000171282
hs547 ENSG00000068654 DIP:27537N
hs546 ENSG00000143776
hs541 ENSG00000100354
hs540 ENSG00000054219
hs543 ENSG00000183337
hs542 ENSG00000116731 DIP:428N
hs18148 ENSG00000134539
hs18149 ENSG00000106268
hs18142 ENSG00000149531
hs18143 ENSG00000163699
hs18140 ENSG00000168303
hs18141 ENSG00000141748
hs18146 ENSG00000162980
hs18147 ENSG00000165997
hs18144 NP_055115.1 ENSG00000140612
hs18145 ENSG00000173342
hs14829 ENSG00000188816
hs14828 ENSG00000197646
hs19819 ENSG00000171427
hs19818 ENSG00000189381
hs19817 ENSG00000197949
hs19816 ENSG00000175873
hs19815 ENSG00000168678
hs19814 ENSG00000124479
hs19813 ENSG00000197511 ENSG00000196690
hs19812 ENSG00000185460
hs14823 ENSG00000170238
hs19810 ENSG00000055070
hs21529 ENSG00000186390
hs18858 ENSG00000196896
hs18859 ENSG00000197854
hs18850 ENSG00000188542
hs18851 ENSG00000184040 ENSG00000148483
hs18852 ENSG00000125611
hs18853 ENSG00000180359
hs18854 ENSG00000175170
hs18855 ENSG00000197301
hs18856 ENSG00000183355
hs18857 ENSG00000197021 ENSG00000197620
hs20602 ENSG00000156482 DIP:27592N
hs20603 ENSG00000150433
hs20600 ENSG00000179036
hs20601 NP_524147.1
hs20606 ENSG00000182068
hs20607 ENSG00000196486
hs20604 ENSG00000187094
hs20605 ENSG00000166593
hs20608 ENSG00000173534
hs20609 ENSG00000137021
hs12289 ENSG00000184493
hs12288 ENSG00000157693
hs12283 ENSG00000168958
hs12282 ENSG00000181873
hs12281 ENSG00000186933
hs12280 ENSG00000165630
hs12287 ENSG00000143006
hs12286 ENSG00000105696
hs12285 ENSG00000110025
hs12284 ENSG00000172215
hs11956 ENSG00000165943
hs11957 ENSG00000162552
hs11954 ENSG00000047579
hs11955 ENSG00000184488
hs11952 ENSG00000140043
hs11953 ENSG00000133114
hs11950 ENSG00000182107
hs11951 ENSG00000163380
hs11958 ENSG00000013306
hs11959 ENSG00000126062
hs13886 ENSG00000197774
hs13887 ENSG00000188968
hs13884 ENSG00000188491
hs13885 ENSG00000169288
hs13882 ENSG00000169972
hs13883 ENSG00000167074
hs13880 ENSG00000100647
hs13881 AAD33400.1 ENSG00000103266 NP_005852.1
hs13888 ENSG00000189323
hs13889 ENSG00000188137
hs12755 ENSG00000137522
hs12754 ENSG00000171631
hs12757 ENSG00000145428
hs12756 ENSG00000197046
hs12751 ENSG00000113302 DIP:3774N
hs12750 NP_006269.1
hs6078 ENSG00000100399
hs12752 DIP:24205N ENSG00000154473
hs6076 ENSG00000110931
hs6077 ENSG00000180376
hs6074 ENSG00000100029
hs6075 ENSG00000185972
hs12759 ENSG00000185038
hs12758 ENSG00000135094
hs6070 ENSG00000197143
hs6071 ENSG00000197857
hs11480 ENSG00000161642
hs11481 ENSG00000121853
hs11482 ENSG00000174459
hs11483 ENSG00000117148
hs11484 ENSG00000151239
hs16457 ENSG00000146733
hs11486 ENSG00000108798
hs21556 ENSG00000183534
hs11488 ENSG00000148735
hs11489 ENSG00000048392
hs16458 ENSG00000080371
hs16459 ENSG00000118242
hs11224 ENSG00000067167
hs11225 ENSG00000176130
hs11226 ENSG00000173080
hs11227 ENSG00000115254
hs11220 ENSG00000135722
hs11221 ENSG00000144410
hs3248 ENSG00000188599
hs3249 ENSG00000062038
hs3246 ENSG00000135999
hs3247 DIP:27599N
hs3244 ENSG00000174175
hs3245 ENSG00000074660
hs3242 ENSG00000166813
hs3243 ENSG00000110719
hs3240 ENSG00000115368
hs3241 ENSG00000156232
hs19031 DIP:3222N ENSG00000113520
hs19030 ENSG00000109471 DIP:475N
hs19033 ENSG00000172005
hs19032 ENSG00000198247
hs19035 ENSG00000166329
hs19034 ENSG00000181236
hs19037 ENSG00000145002 ENSG00000186523
hs19036 ENSG00000187839
hs19039 ENSG00000196644
hs19038 ENSG00000196977
hs6149 ENSG00000143337
hs12669 ENSG00000144792
hs12668 ENSG00000167112
hs3798 ENSG00000114805
hs7038 ENSG00000187796
hs3790 ENSG00000105855
hs3791 ENSG00000067840
hs3792 ENSG00000171723
hs3793 ENSG00000197800 NP_689492.2
hs3794 ENSG00000154678
hs3795 ENSG00000073670 NP_002381.2
hs3796 ENSG00000162869
hs3797 ENSG00000142606
hs20387 ENSG00000198627
hs20386 ENSG00000182653
hs20385 ENSG00000198329
hs20384 ENSG00000197595
hs20383 ENSG00000197886
hs20382 ENSG00000182600
hs20381 ENSG00000170791
hs20380 ENSG00000177357
hs20389 ENSG00000189289
hs20388 ENSG00000131943
hs7819 ENSG00000160716
hs7818 ENSG00000187848
hs1792 ENSG00000149256
hs15834 ENSG00000187046
hs1790 ENSG00000078295
hs15836 ENSG00000147655
hs1796 ENSG00000036828
hs1797 DIP:17035N NP_036439.2 ENSG00000082397
hs1794 ENSG00000187240
hs15832 ENSG00000065621
hs1798 ENSG00000130227 Q9UIA9
hs1799 ENSG00000111331
hs15839 ENSG00000124164
hs15838 ENSG00000197272
hs4568 ENSG00000122735
hs4569 ENSG00000109182
hs4566 ENSG00000138039
hs4567 ENSG00000106823
hs4564 ENSG00000130528
hs4565 ENSG00000186439
hs4562 ENSG00000156011
hs4563 ENSG00000177239
hs4560 ENSG00000198629 ENSG00000198323 ENSG00000197392
hs4561 ENSG00000196195
hs9662 ENSG00000187738
hs9663 ENSG00000170044
hs9660 ENSG00000109684
hs9661 ENSG00000179058
hs9666 ENSG00000106236
hs9667 ENSG00000105483
hs9664 ENSG00000120093
hs9665 ENSG00000165716 NP_689634.1
hs9668 AAH35315.1
hs9669 DIP:633N
hs1136 ENSG00000179270
hs1137 ENSG00000169247
hs1134 ENSG00000160145
hs1135 ENSG00000113810
hs1132 ENSG00000143379 NP_036564.1
hs1133 ENSG00000179094
hs1130 DIP:100N ENSG00000124181
hs1131 ENSG00000109436
hs1138 ENSG00000142733
hs1139 ENSG00000106714
hs9086 ENSG00000176928
hs9087 ENSG00000167104
hs9084 ENSG00000132635
hs9085 ENSG00000177427
hs9082 ENSG00000167657
hs9083 ENSG00000119125
hs9080 O95897 ENSG00000105088 NP_477512.1
hs9081 ENSG00000157954 NP_056425.1
hs9088 ENSG00000001561
hs9089 ENSG00000092020
hs7958 ENSG00000152327
hs7959 ENSG00000103196
hs7952 ENSG00000081377
hs7953 DIP:27626N ENSG00000101966
hs7950 ENSG00000174586
hs7951 ENSG00000187676
hs7956 ENSG00000116151
hs7957 ENSG00000103495
hs7954 ENSG00000197124
hs7955 ENSG00000146039
hs11312 ENSG00000135486
hs11313 ENSG00000196766
hs11318 ENSG00000124171
hs11319 ENSG00000111707
hs16610 ENSG00000198405
hs16611 ENSG00000196315
hs16612 ENSG00000078804
hs16613 ENSG00000174448
hs16614 ENSG00000166676
hs16615 ENSG00000196080
hs16616 ENSG00000152348
hs16617 ENSG00000167791
hs16618 ENSG00000184697
hs16619 ENSG00000178811
hs18728 ENSG00000175967
hs18729 ENSG00000167863 NP_006347.1
hs18722 ENSG00000188410
hs18723 ENSG00000179251
hs18720 NP_006465.1
hs18721 ENSG00000120656 DIP:496N
hs18726 ENSG00000125462
hs18727 ENSG00000198487
hs18724 ENSG00000189067 BAB32547.1
hs18725 ENSG00000185414
hs10519 ENSG00000197013
hs10518 ENSG00000142082 NP_036371.1
hs10515 ENSG00000177192
hs10514 ENSG00000112486
hs10517 ENSG00000008952
hs10516 ENSG00000197092
hs10511 ENSG00000065559
hs10510 ENSG00000173880
hs10513 ENSG00000183334
hs10512 ENSG00000118487
hs21148 ENSG00000186210
hs21149 ENSG00000174446
hs21142 ENSG00000186632
hs21143 ENSG00000196156
hs21140 ENSG00000198249 ENSG00000180572
hs21141 ENSG00000198474 ENSG00000196457 ENSG00000197026 ENSG00000169785
hs21146 ENSG00000197655
hs21147 ENSG00000160213
hs21144 ENSG00000178543
hs21145 ENSG00000188243
hs3988 ENSG00000188976
hs17983 ENSG00000163479
hs17982 DIP:6026N ENSG00000167244
hs17981 ENSG00000197495
hs17980 ENSG00000170006
hs17987 ENSG00000117122
hs17986 ENSG00000091317
hs17985 ENSG00000173828
hs12978 ENSG00000189023
hs17989 ENSG00000181467
hs17988 ENSG00000168759
hs19130 ENSG00000175206
hs19131 ENSG00000198326
hs19132 ENSG00000162968
hs19133 ENSG00000092841 NP_066299.2
hs19134 ENSG00000197691 ENSG00000196856
hs19135 ENSG00000153495
hs19136 ENSG00000182668
hs19137 ENSG00000181271
hs19138 ENSG00000149443
hs19139 ENSG00000164587
hs7369 ENSG00000149182
hs7368 ENSG00000164296
hs20819 ENSG00000181798
hs20818 ENSG00000161980
hs20817 ENSG00000186051
hs20816 ENSG00000182065
hs20815 ENSG00000196798
hs20814 ENSG00000187544
hs20813 ENSG00000196926
hs8128 DIP:24199N ENSG00000198625
hs20811 DIP:5920N
hs20810 DIP:87N ENSG00000088832 ENSG00000198225
hs12972 ENSG00000184292
hs9956 ENSG00000089123
hs9957 ENSG00000167383
hs7367 ENSG00000137398
hs7366 ENSG00000187607
hs21858 ENSG00000198744
hs21859 ENSG00000185831
hs14980 NP_001740.1 ENSG00000126247
hs14981 ENSG00000031691
hs14986 ENSG00000142961
hs14987 ENSG00000148688
hs14984 ENSG00000183937
hs14985 ENSG00000143401
hs21850 ENSG00000177320
hs21851 ENSG00000196760
hs21852 ENSG00000087250
hs21853 ENSG00000164825
hs21854 ENSG00000196254
hs21855 ENSG00000174613
hs21856 ENSG00000134986 NP_004763.1
hs21857 ENSG00000196580
hs18269 NP_006399.1 ENSG00000106541
hs18268 ENSG00000101812
hs18267 ENSG00000175079
hs18266 ENSG00000187905
hs18265 ENSG00000131477
hs18264 ENSG00000182187
hs18263 ENSG00000171878 NP_000137.2
hs9503 ENSG00000148158
hs18261 ENSG00000182025
hs18260 ENSG00000174453
hs358 ENSG00000075292
hs359 ENSG00000165521
hs354 ENSG00000004399
hs355 ENSG00000160294 O60318
hs356 ENSG00000100815
hs357 ENSG00000169432
hs350 ENSG00000138771
hs351 ENSG00000105357
hs352 ENSG00000153827
hs353 ENSG00000110723
hs5947 ENSG00000183576
hs5946 ENSG00000101361
hs5945 ENSG00000145216
hs5944 ENSG00000148841
hs5943 ENSG00000083817
hs5942 ENSG00000147642 NP_060256.1
hs5941 NP_002822.2
hs5940 Q8IYI8 ENSG00000171295
hs5949 ENSG00000148082
hs5948 ENSG00000198076
hs8841 ENSG00000112164
hs8840 ENSG00000101294
hs8843 ENSG00000136143
hs8842 ENSG00000118495
hs8845 ENSG00000101210
hs8844 NP_008848.1 ENSG00000143171
hs8847 ENSG00000109861
hs8846 ENSG00000105479
hs17200 ENSG00000187777
hs17201 ENSG00000106537
hs17202 ENSG00000100010
hs17203 ENSG00000171160
hs17204 ENSG00000108641
hs17205 ENSG00000188286
hs17206 ENSG00000188774
hs17207 ENSG00000138621 AAH14409.1
hs20031 ENSG00000197638
hs20030 ENSG00000173863
hs20033 ENSG00000197916
hs20032 ENSG00000006327
hs20035 DIP:5913N NP_002695.1 ENSG00000163736
hs20034 CAB43369.1
hs20037 ENSG00000164032 ENSG00000105968
hs20036 ENSG00000133134
hs20039 ENSG00000198693
hs20038 ENSG00000177337
hs16557 ENSG00000189337
hs16556 ENSG00000130724
hs16555 ENSG00000108106 ENSG00000175091
hs16554 ENSG00000183828
hs16553 ENSG00000174156
hs16552 ENSG00000182793
hs16551 ENSG00000179271
hs16550 P04179 ENSG00000112096
hs16559 ENSG00000108878
hs16558 ENSG00000174796
hs10894 ENSG00000176407
hs10895 ENSG00000142409
hs10896 ENSG00000166532
hs10897 ENSG00000006831
hs10890 ENSG00000110031
hs10891 ENSG00000186883
hs10892 ENSG00000151136
hs10893 ENSG00000103154
hs10898 ENSG00000164024
hs10899 ENSG00000097033
hs15116 ENSG00000128789 NP_064617.2
hs6558 ENSG00000136235
hs15114 ENSG00000180124
hs15115 ENSG00000145425 NP_000997.1 ENSG00000187899
hs15112 ENSG00000144524
hs15113 ENSG00000169551
hs15110 ENSG00000171443
hs15111 ENSG00000099330
hs6551 ENSG00000104888
hs6550 ENSG00000198698
hs6553 ENSG00000167123
hs6552 ENSG00000164306
hs6555 ENSG00000140961
hs6554 ENSG00000178772
hs15118 ENSG00000113088
hs6556 ENSG00000140478
hs3459 ENSG00000142632
hs3458 ENSG00000164941
hs3457 ENSG00000081019
hs3456 ENSG00000185418
hs3455 ENSG00000006282
hs3454 DIP:5149N ENSG00000160867
hs3453 ENSG00000106327
hs3452 ENSG00000171488
hs3451 ENSG00000143344
hs3450 ENSG00000198521
hs7206 ENSG00000143376
hs7207 AAF66686.1 ENSG00000130175
hs7204 ENSG00000156096
hs7205 ENSG00000188451
hs7202 ENSG00000182827
hs7203 ENSG00000133517
hs7200 ENSG00000163295
hs7201 ENSG00000130348
hs7208 ENSG00000086712
hs7209 ENSG00000185049
hs8478 ENSG00000087077
hs8479 ENSG00000146038
hs4159 ENSG00000157617
hs4158 ENSG00000189057
hs14799 ENSG00000173992
hs14798 ENSG00000183266
hs4153 ENSG00000146001
hs8471 NP_000390.2 ENSG00000122877
hs4151 ENSG00000119326
hs14794 ENSG00000023909
hs14793 ENSG00000168062
hs14792 ENSG00000184055
hs8476 ENSG00000066117
hs8477 ENSG00000133063
hs8782 ENSG00000102359
hs8783 ENSG00000169856
hs8780 ENSG00000115919
hs8781 ENSG00000166013
hs8786 ENSG00000079101
hs8787 ENSG00000099875
hs8784 ENSG00000079277
hs8785 ENSG00000151892
hs8788 ENSG00000163285
hs8789 ENSG00000164188
hs9293 ENSG00000167914
hs9292 ENSG00000144130
hs9291 ENSG00000168135
hs9290 ENSG00000179403
hs9297 ENSG00000184246 ENSG00000188792 ENSG00000188492 ENSG00000187530 ENSG00000187711
hs9296 ENSG00000131446
hs9295 ENSG00000187546
hs9294 ENSG00000132330
hs9299 ENSG00000119965 AAH32645.1
hs6425 ENSG00000171843 AAH36089.1
hs9298 ENSG00000155749
hs6424 ENSG00000198816
hs6427 ENSG00000110911
hs5208 ENSG00000113593
hs9788 O94805 ENSG00000077080
hs6426 ENSG00000163608
hs13228 ENSG00000137947
hs13229 ENSG00000183130
hs13226 ENSG00000182356 ENSG00000184978 ENSG00000185016
hs5201 ENSG00000172350
hs5202 ENSG00000076706
hs5203 ENSG00000165655
hs9785 ENSG00000187079
hs13223 ENSG00000131165
hs5206 ENSG00000173846
hs5207 ENSG00000196268
hs6423 ENSG00000148339
hs6422 ENSG00000014824
hs9433 ENSG00000114745
hs9432 ENSG00000143870
hs9431 ENSG00000166881
hs9430 ENSG00000144959
hs9437 DIP:717N ENSG00000153767
hs9436 ENSG00000161011 NP_003891.1
hs9435 ENSG00000186910
hs9434 ENSG00000120889
hs6429 ENSG00000124784
hs9439 NP_002795.2 ENSG00000165916 DIP:27555N
hs9438 ENSG00000175220 DIP:6081N
hs6428 ENSG00000103148
hs2263 ENSG00000115839
hs2262 ENSG00000180357
hs2261 NP_061936.2 ENSG00000143924
hs2260 ENSG00000171603
hs2267 ENSG00000124587
hs2266 ENSG00000168625
hs2265 ENSG00000105737 NP_002079.2
hs2264 ENSG00000135655
hs6968 ENSG00000196911
hs6969 ENSG00000158805
hs2269 ENSG00000166685
hs2268 ENSG00000139746
hs21728 ENSG00000197239
hs21729 ENSG00000186665
hs21722 ENSG00000196163
hs21723 ENSG00000198341
hs21720 ENSG00000180589
hs21721 ENSG00000197716
hs21726 ENSG00000176886
hs21727 ENSG00000196204
hs21724 ENSG00000188743
hs21725 ENSG00000166770
hs17046 ENSG00000198850
hs17047 ENSG00000189051
hs17044 ENSG00000152558
hs17045 ENSG00000183346
hs22198 ENSG00000177741
hs17043 ENSG00000182809
hs17040 ENSG00000156171
hs17041 ENSG00000130772
hs22194 ENSG00000184187
hs22195 ENSG00000197267
hs22196 ENSG00000197269
hs22197 ENSG00000180712
hs22190 ENSG00000183821
hs22191 ENSG00000186330
hs17048 ENSG00000196471
hs17049 ENSG00000130193
hs19688 ENSG00000112727 ENSG00000178458
hs19689 DIP:922N ENSG00000168148
hs19682 ENSG00000189227
hs19683 NP_000982.2 ENSG00000108107
hs19680 ENSG00000124237
hs19681 ENSG00000185136
hs19686 ENSG00000163121
hs19687 ENSG00000196198 ENSG00000198636
hs19684 ENSG00000198215
hs19685 ENSG00000178854
hs16795 ENSG00000166257
hs16794 ENSG00000149573
hs16797 ENSG00000196861
hs16796 ENSG00000173349
hs16791 ENSG00000140280
hs16790 ENSG00000108255
hs16793 ENSG00000149575
hs16792 ENSG00000166984
hs16799 ENSG00000131944
hs16798 ENSG00000119396
hs20130 ENSG00000169609
hs20131 ENSG00000198314
hs20132 ENSG00000177699
hs20133 NP_056230.1 ENSG00000143158
hs20134 ENSG00000181908
hs20135 ENSG00000123685
hs20136 ENSG00000151882
hs20137 ENSG00000176357
hs20138 ENSG00000177627
hs20139 ENSG00000197463 ENSG00000184324
hs11079 ENSG00000151116
hs11078 ENSG00000137104
hs11075 ENSG00000102401
hs11074 ENSG00000105549
hs11077 ENSG00000197953
hs11076 ENSG00000136944
hs11071 ENSG00000126542
hs11070 ENSG00000137996
hs11073 ENSG00000148334
hs11072 ENSG00000187510
hs10308 ENSG00000163563
hs10309 ENSG00000006638
hs10304 ENSG00000076067 NP_002889.1
hs10305 ENSG00000185257
hs10306 ENSG00000164087
hs10307 ENSG00000198553
hs10300 ENSG00000198792
hs10301 ENSG00000171570 NP_444274.1
hs10302 ENSG00000176746
hs10303 ENSG00000104881
hs21269 ENSG00000196671
hs21268 ENSG00000180393
hs21267 ENSG00000186284
hs21266 ENSG00000197645
hs21265 ENSG00000197166
hs21264 ENSG00000184158
hs21263 ENSG00000198594
hs21262 NP_004880.1 ENSG00000160916
hs21261 ENSG00000197338
hs21260 ENSG00000196891
hs17828 ENSG00000183578
hs17829 ENSG00000136425
hs17820 ENSG00000181904
hs17821 ENSG00000187536
hs17822 ENSG00000126752
hs17823 ENSG00000006625
hs17824 ENSG00000197583
hs17825 ENSG00000063177
hs17826 ENSG00000171855 DIP:6018N
hs17827 ENSG00000176923
hs1341 ENSG00000108055
hs1340 ENSG00000039523
hs1343 ENSG00000101384
hs1342 ENSG00000126464
hs1345 DIP:5762N
hs1344 ENSG00000158417
hs1347 ENSG00000172493
hs1346 Q15393 DIP:28152N ENSG00000189091
hs1349 ENSG00000131149
hs1348 ENSG00000198919
hs14559 ENSG00000134258
hs14558 ENSG00000104442
hs19309 ENSG00000178372
hs19308 NP_078979.1
hs19307 ENSG00000085871 NP_002404.1
hs19306 ENSG00000131797
hs19305 ENSG00000166961
hs19304 ENSG00000183528
hs19303 ENSG00000196423
hs19302 ENSG00000156968
hs19301 AAG09722.1 ENSG00000107020
hs19300 NP_003331.1 ENSG00000149345
hs13028 ENSG00000176742
hs13029 ENSG00000104522
hs13024 DIP:27569N AAC28913.1 ENSG00000105202
hs13025 ENSG00000159961
hs13026 ENSG00000181074
hs13027 ENSG00000188629
hs13020 ENSG00000122188
hs13021 ENSG00000187678
hs13022 ENSG00000171174
hs13023 NP_079023.1
hs9231 ENSG00000186818
hs9230 ENSG00000132376
hs9233 ENSG00000143458
hs9232 ENSG00000179918
hs9235 DIP:82N
hs9234 NP_899069.1
hs9237 ENSG00000106638
hs9236 ENSG00000110148 DIP:229N
hs9239 ENSG00000178522
hs9238 ENSG00000184095 ENSG00000175733
hs49 ENSG00000132549
hs48 ENSG00000118997
hs43 ENSG00000116127
hs42 ENSG00000008710
hs41 ENSG00000142798
hs40 ENSG00000086570
hs47 ENSG00000170927
hs46 ENSG00000158486
hs45 DIP:24186N ENSG00000121031
hs44 ENSG00000188398
hs2061 ENSG00000091106
hs2060 ENSG00000135372
hs12047 ENSG00000165832
hs12046 ENSG00000118523
hs12041 ENSG00000011198
hs2064 ENSG00000100095
hs12043 ENSG00000124469
hs12042 ENSG00000100652
hs2069 ENSG00000006118
hs2068 ENSG00000103555
hs12049 ENSG00000104626
hs12048 ENSG00000117133
hs11534 ENSG00000176273
hs11535 ENSG00000181830
hs11536 ENSG00000136872
hs11537 ENSG00000154553
hs11530 ENSG00000155287
hs11531 ENSG00000162631
hs11532 ENSG00000184935
hs11533 ENSG00000113249
hs11538 ENSG00000108591
hs11539 ENSG00000102076 ENSG00000147380 ENSG00000166160
hs9909 ENSG00000148331
hs9908 ENSG00000130762
hs9907 ENSG00000100312
hs9906 NP_002744.1
hs9905 AAH00313.1
hs9904 ENSG00000198056 NP_000937.1
hs9903 ENSG00000006016
hs9902 ENSG00000131409
hs9901 ENSG00000189319
hs13268 ENSG00000171772
hs7509 ENSG00000131233
hs7508 ENSG00000087338
hs3080 ENSG00000111985
hs7500 ENSG00000147485
hs3082 ENSG00000009950
hs3083 ENSG00000137574
hs3084 ENSG00000127081
hs3085 ENSG00000125485
hs3086 ENSG00000089048
hs3087 ENSG00000121236
hs2939 DIP:160N
hs2938 ENSG00000114790
hs2937 ENSG00000137573
hs2936 ENSG00000161992
hs2935 ENSG00000087365
hs2934 ENSG00000111199
hs2933 ENSG00000175984
hs2932 ENSG00000157657
hs2931 ENSG00000164403
hs2930 ENSG00000075043
hs15099 ENSG00000164737
hs15098 ENSG00000007306
hs15093 ENSG00000183120
hs15092 ENSG00000113722
hs15091 ENSG00000198831
hs15090 ENSG00000188690
hs15097 ENSG00000166152
hs15096 ENSG00000180901
hs15095 ENSG00000167113
hs15094 ENSG00000100931
hs2582 ENSG00000017260
hs2583 ENSG00000196277
hs2580 ENSG00000099250 DIP:6235N DIP:5743N
hs2581 ENSG00000160883
hs2586 ENSG00000171444
hs2587 ENSG00000005156
hs15325 ENSG00000168159
hs15324 ENSG00000147059
hs15327 ENSG00000159210
hs15326 ENSG00000137558
hs15321 ENSG00000175990
hs15320 ENSG00000127399
hs15323 ENSG00000132881
hs15322 ENSG00000105648
hs2585 ENSG00000123124
hs15329 ENSG00000183227
hs15328 ENSG00000105668
hs2588 ENSG00000131864
hs2589 BAB47504.1
hs1626 ENSG00000101974
hs1627 ENSG00000184507
hs1624 ENSG00000013503
hs1625 DIP:491N
hs1622 ENSG00000136478
hs1623 ENSG00000083223
hs1620 P18206 ENSG00000035403
hs1621 ENSG00000164362
hs1628 ENSG00000129534
hs1629 ENSG00000096968
hs14054 ENSG00000187791
hs14055 ENSG00000113272
hs14056 ENSG00000157021
hs14057 ENSG00000175274
hs14050 ENSG00000160862
hs14051 ENSG00000197907
hs14052 ENSG00000106809
hs4059 ENSG00000068323
hs4056 ENSG00000196757
hs4057 ENSG00000142621
hs4054 ENSG00000026508
hs4055 ENSG00000159164
hs4052 ENSG00000144369
hs4053 ENSG00000000457
hs4050 ENSG00000089876
hs4051 ENSG00000167280
hs8629 ENSG00000162777
hs8628 ENSG00000149532
hs8621 ENSG00000094963
hs8620 ENSG00000170561
hs8623 ENSG00000173825
hs8622 ENSG00000147140 AAC51852.1
hs8625 ENSG00000155304
hs8624 ENSG00000185761
hs8627 ENSG00000185352
hs8626 ENSG00000178028
hs5019 ENSG00000171817
hs5018 ENSG00000184950
hs5011 ENSG00000091127
hs5010 ENSG00000197313
hs5013 ENSG00000113643
hs5012 DIP:26N ENSG00000087245
hs5015 ENSG00000010803 AAH09752.1
hs5014 ENSG00000139350
hs5017 ENSG00000141568
hs5016 ENSG00000160746
hs9576 ENSG00000108515
hs9577 ENSG00000198732
hs9574 O60664 ENSG00000105355
hs9575 ENSG00000141665
hs9572 ENSG00000116819
hs9573 ENSG00000189410
hs9570 ENSG00000178015
hs9571 ENSG00000062282
hs9578 ENSG00000167081
hs9579 ENSG00000143194
hs2546 ENSG00000197563
hs2547 ENSG00000044115
hs2544 ENSG00000136891
hs2545 ENSG00000133059
hs2542 ENSG00000171992
hs2543 ENSG00000187704
hs2540 ENSG00000136021
hs2541 ENSG00000104450
hs2548 AAH41770.1
hs2549 DIP:582N ENSG00000139687
hs20224 ENSG00000183596 NP_057153.8
hs20225 ENSG00000123569
hs20226 ENSG00000189128
hs20227 ENSG00000176605
hs20220 ENSG00000197404
hs20221 ENSG00000189156
hs18795 ENSG00000141650
hs18794 ENSG00000172366
hs18425 ENSG00000197213
hs18424 ENSG00000171102
hs12405 ENSG00000154719
hs20688 ENSG00000089356
hs20689 ENSG00000173180
hs12404 P09467 ENSG00000165140
hs20682 ENSG00000176358
hs20683 ENSG00000181911
hs20680 ENSG00000139574
hs20681 ENSG00000183739
hs20686 ENSG00000146425
hs20687 ENSG00000196844
hs20684 ENSG00000182546
hs20685 ENSG00000184157
hs12406 ENSG00000090447
hs12401 ENSG00000196317 ENSG00000196144 ENSG00000197411 1901303A Leu zipper protein p40 ENSG00000197436 ENSG00000197130
hs12400 ENSG00000197895
hs12403 ENSG00000197623
hs10234 ENSG00000163536
hs12402 ENSG00000198141
hs18428 ENSG00000185830
hs22011 ENSG00000151459
hs22010 ENSG00000147669
hs22013 ENSG00000173915
hs22012 ENSG00000198738
hs22015 ENSG00000187642
hs22014 ENSG00000180441
hs22017 ENSG00000187073
hs22016 ENSG00000186964
hs22019 ENSG00000173655
hs22018 ENSG00000184991
hs12203 ENSG00000166326
hs12202 ENSG00000086289
hs12201 ENSG00000139679
hs12200 ENSG00000086548
hs12207 ENSG00000167087
hs12206 ENSG00000151332
hs12205 ENSG00000138764
hs12204 ENSG00000136805
hs12209 ENSG00000134882 BAC11609.1
hs12208 ENSG00000178999
hs16184 ENSG00000182542
