mm7412 ENSMUSG00000040471
mm23611 ENSMUSG00000066987
mm23610 ENSMUSG00000058277
mm10899 ENSMUSG00000021432
mm10898 ENSMUSG00000002871
mm10893 ENSMUSG00000044309
mm10892 ENSMUSG00000066858
mm10891 ENSMUSG00000021675
mm10890 ENSMUSG00000004996
mm10897 ENSMUSG00000042289
mm10896 ENSMUSG00000066719
mm10895 ENSMUSG00000037797
mm10894 ENSMUSG00000066722
mm2525 ENSMUSG00000026571
mm2524 ENSMUSG00000048264
mm2527 ENSMUSG00000039862
mm2526 ENSMUSG00000070000
mm2521 ENSMUSG00000042447
mm2520 ENSMUSG00000010453
mm2523 ENSMUSG00000042599
mm2522 ENSMUSG00000037291
mm9719 ENSMUSG00000049340
mm9718 ENSMUSG00000069684 ENSMUSG00000068328
mm2529 ENSMUSG00000056258
mm2528 ENSMUSG00000060979
mm8040 ENSMUSG00000031671
mm8041 ENSMUSG00000051796
mm8042 ENSMUSG00000061370
mm8043 ENSMUSG00000026209
mm8044 ENSMUSG00000062778
mm8045 ENSMUSG00000010047
mm8046 ENSMUSG00000020393
mm8047 ENSMUSG00000032806
mm8048 ENSMUSG00000033676
mm8049 ENSMUSG00000027973
mm12792 ENSMUSG00000026969
mm12793 ENSMUSG00000044786
mm12790 ENSMUSG00000062213
mm12791 ENSMUSG00000039608
mm12796 ENSMUSG00000021947
mm12797 ENSMUSG00000067971
mm12794 ENSMUSG00000044120
mm12795 ENSMUSG00000063173
mm12798 ENSMUSG00000060205
mm12799 ENSMUSG00000028029
mm17678 ENSMUSG00000040599
mm17679 ENSMUSG00000030613
mm17672 ENSMUSG00000022217
mm17673 ENSMUSG00000069352
mm17670 ENSMUSG00000008859
mm17671 ENSMUSG00000021868
mm17676 ENSMUSG00000032566
mm17677 ENSMUSG00000051038
mm17674 ENSMUSG00000004451
mm17675 ENSMUSG00000044887
mm24829 ENSMUSG00000068035
mm24828 ENSMUSG00000069442
mm24821 ENSMUSG00000068931
mm24820 ENSMUSG00000067686
mm24823 ENSMUSG00000066470
mm24822 ENSMUSG00000067689
mm24825 ENSMUSG00000066931
mm24824 ENSMUSG00000067490
mm24827 ENSMUSG00000066835
mm24826 ENSMUSG00000069281
mm22258 ENSMUSG00000025491
mm22259 ENSMUSG00000025868
mm22250 ENSMUSG00000055138
mm22251 ENSMUSG00000060923
mm22252 ENSMUSG00000025783
mm22253 ENSMUSG00000052295
mm22254 ENSMUSG00000044938
mm22255 ENSMUSG00000026666
mm22256 ENSMUSG00000056313
mm22257 ENSMUSG00000057740 ENSMUSG00000049751
mm11854 ENSMUSG00000003992
mm11855 ENSMUSG00000020669
mm6538 ENSMUSG00000054967
mm6539 ENSMUSG00000040170
mm11850 ENSMUSG00000049389
mm11851 ENSMUSG00000025935
mm11852 ENSMUSG00000063889
mm11853 ENSMUSG00000036707
mm6532 ENSMUSG00000003731
mm6533 ENSMUSG00000029887
mm6530 ENSMUSG00000048728
mm6531 ENSMUSG00000069202
mm6536 ENSMUSG00000027661
mm6537 ENSMUSG00000037104
mm6534 ENSMUSG00000037405
mm6535 ENSMUSG00000022206
mm18530 ENSMUSG00000066962
mm18531 ENSMUSG00000058537 ENSMUSG00000059385
mm18532 ENSMUSG00000039097
mm18533 ENSMUSG00000059301
mm18534 ENSMUSG00000056286 ENSMUSG00000032892
mm18535 ENSMUSG00000070055
mm18536 ENSMUSG00000055424
mm18537 ENSMUSG00000022496
mm18538 ENSMUSG00000066592
mm18539 ENSMUSG00000027828
mm19669 ENSMUSG00000069417
mm19668 ENSMUSG00000056739
mm19667 ENSMUSG00000050284
mm19666 ENSMUSG00000045237
mm19665 ENSMUSG00000062049
mm19664 ENSMUSG00000054057
mm19663 ENSMUSG00000028251
mm19662 ENSMUSG00000022601 ENSMUSG00000069870
mm19661 ENSMUSG00000043190
mm19660 ENSMUSG00000028940
mm14329 ENSMUSG00000027438
mm14328 ENSMUSG00000033157
mm14321 ENSMUSG00000002733
mm14320 ENSMUSG00000062131 ENSMUSG00000058558 ENSMUSG00000059478
mm14323 ENSMUSG00000026188
mm14322 ENSMUSG00000034872
mm14325 ENSMUSG00000026698
mm14324 ENSMUSG00000048066
mm14327 ENSMUSG00000043405
mm14326 ENSMUSG00000037140
mm21709 ENSMUSG00000067934
mm21708 ENSMUSG00000068288
mm21707 ENSMUSG00000057641
mm21706 ENSMUSG00000022594
mm21705 ENSMUSG00000049663
mm21704 ENSMUSG00000020392
mm21703 ENSMUSG00000047938
mm21702 ENSMUSG00000037489
mm21701 ENSMUSG00000046242
mm21700 ENSMUSG00000039951
mm20258 ENSMUSG00000023939
mm20259 ENSMUSG00000067123
mm20252 ENSMUSG00000053961
mm20253 ENSMUSG00000032530
mm20250 ENSMUSG00000024150
mm20251 ENSMUSG00000020295
mm20256 ENSMUSG00000027389
mm20257 ENSMUSG00000028394
mm20254 ENSMUSG00000050152
mm20255 ENSMUSG00000066489
mm739 ENSMUSG00000036270
mm738 ENSMUSG00000049550
mm735 ENSMUSG00000051592
mm734 ENSMUSG00000039419
mm737 ENSMUSG00000060176
mm736 ENSMUSG00000068270
mm731 ENSMUSG00000024002
mm730 ENSMUSG00000021640
mm733 ENSMUSG00000027678
mm732 ENSMUSG00000037003
mm18738 ENSMUSG00000048583
mm19469 ENSMUSG00000047830
mm19468 ENSMUSG00000069039
mm889 ENSMUSG00000043456
mm888 ENSMUSG00000033149
mm883 ENSMUSG00000036882
mm882 ENSMUSG00000062234
mm881 ENSMUSG00000025060
mm880 ENSMUSG00000030213
mm887 ENSMUSG00000050944
mm886 ENSMUSG00000022191
mm885 ENSMUSG00000017978
mm884 ENSMUSG00000062312
mm19465 ENSMUSG00000056742
mm19464 ENSMUSG00000044966
mm19467 ENSMUSG00000055873
mm23932 ENSMUSG00000067600
mm23933 ENSMUSG00000068531
mm23930 ENSMUSG00000069947
mm23931 ENSMUSG00000066177
mm23936 ENSMUSG00000066339
mm23937 ENSMUSG00000057289
mm23934 ENSMUSG00000066728
mm23935 ENSMUSG00000067352
mm19461 ENSMUSG00000049026
mm23938 ENSMUSG00000067051
mm23939 ENSMUSG00000063605
mm19460 ENSMUSG00000031843
mm19463 ENSMUSG00000021379
mm19462 ENSMUSG00000054541
mm18277 ENSMUSG00000032894
mm18276 ENSMUSG00000029875
mm18275 ENSMUSG00000029711
mm18274 ENSMUSG00000059347
mm18273 ENSMUSG00000023075
mm18272 ENSMUSG00000046434
mm18271 ENSMUSG00000025264
mm18270 DIP:28137N ENSMUSG00000009575
mm18279 ENSMUSG00000036648
mm18278 ENSMUSG00000030048
mm22337 ENSMUSG00000038750
mm22336 ENSMUSG00000028367
mm15711 ENSMUSG00000033589
mm17531 ENSMUSG00000053761
mm17530 ENSMUSG00000046314
mm17533 ENSMUSG00000046403
mm22334 ENSMUSG00000068151
mm17535 ENSMUSG00000022359
mm17534 ENSMUSG00000021732
mm17537 ENSMUSG00000063885
mm17536 ENSMUSG00000059482
mm17539 ENSMUSG00000061366
mm22333 ENSMUSG00000040893
mm22332 ENSMUSG00000054602
mm22331 ENSMUSG00000029373
mm22330 ENSMUSG00000044327
mm1708 ENSMUSG00000050600
mm1709 ENSMUSG00000032691
mm1704 ENSMUSG00000039234
mm1705 ENSMUSG00000028073
mm1706 ENSMUSG00000020456
mm1707 ENSMUSG00000055629
mm1700 ENSMUSG00000055540
mm1701 ENSMUSG00000039953
mm1702 ENSMUSG00000025788
mm1703 ENSMUSG00000005553
mm5418 ENSMUSG00000044005
mm5419 ENSMUSG00000027868
mm5414 ENSMUSG00000019935
mm5415 ENSMUSG00000000204
mm5416 ENSMUSG00000063052
mm5417 ENSMUSG00000045534
mm5410 ENSMUSG00000019487
mm5411 ENSMUSG00000027792
mm5412 ENSMUSG00000030867
mm5413 ENSMUSG00000046791
mm8916 ENSMUSG00000003809
mm12808 ENSMUSG00000063216
mm12809 ENSMUSG00000050281
mm12802 ENSMUSG00000051156
mm12803 ENSMUSG00000061777
mm12800 ENSMUSG00000063380
mm12801 ENSMUSG00000000562
mm12806 ENSMUSG00000044029
mm12807 ENSMUSG00000035142
mm12804 ENSMUSG00000046396
mm12805 ENSMUSG00000059444
mm24672 ENSMUSG00000066875
mm21028 ENSMUSG00000052452
mm3034 ENSMUSG00000053222
mm3035 ENSMUSG00000025572
mm3036 ENSMUSG00000055322
mm3037 ENSMUSG00000026173
mm3030 ENSMUSG00000056562
mm3031 ENSMUSG00000046387
mm3032 ENSMUSG00000020770
mm3033 ENSMUSG00000007476
mm3038 ENSMUSG00000049455
mm3039 ENSMUSG00000050750
mm1883 ENSMUSG00000014361
mm1882 ENSMUSG00000040907
mm1881 ENSMUSG00000049577
mm1880 ENSMUSG00000026204
mm1887 ENSMUSG00000029862
mm1886 ENSMUSG00000028739
mm1885 ENSMUSG00000030730
mm1884 ENSMUSG00000029851
mm1889 ENSMUSG00000039057
mm1888 ENSMUSG00000005958
mm21026 ENSMUSG00000056758
mm21027 ENSMUSG00000021647
mm2345 ENSMUSG00000054708
mm2344 ENSMUSG00000034342
mm2347 ENSMUSG00000024304
mm2346 ENSMUSG00000034212
mm2341 ENSMUSG00000006276
mm2340 ENSMUSG00000038417
mm2343 ENSMUSG00000055407
mm2342 ENSMUSG00000046311
mm2349 ENSMUSG00000062545
mm2348 ENSMUSG00000002870
mm7838 ENSMUSG00000034488
mm7839 ENSMUSG00000004069
mm10510 ENSMUSG00000048899
mm10511 ENSMUSG00000038199
mm10516 ENSMUSG00000021377
mm10517 ENSMUSG00000021239
mm10514 ENSMUSG00000010057
mm10515 ENSMUSG00000015714
mm7830 ENSMUSG00000054931
mm7831 ENSMUSG00000025651
mm10518 ENSMUSG00000031101
mm10519 ENSMUSG00000022552
mm7834 ENSMUSG00000029617
mm7835 ENSMUSG00000043587
mm7836 ENSMUSG00000046862
mm7837 ENSMUSG00000026029
mm11641 ENSMUSG00000056901
mm11640 ENSMUSG00000060671
mm11643 ENSMUSG00000001143
mm11642 ENSMUSG00000040746
mm11645 ENSMUSG00000030638
mm11644 ENSMUSG00000034245
mm11647 ENSMUSG00000025427
mm11646 ENSMUSG00000030292
mm11649 ENSMUSG00000069707
mm11648 ENSMUSG00000040441
mm16918 ENSMUSG00000069321
mm16919 ENSMUSG00000053254
mm16914 ENSMUSG00000006315
mm16915 ENSMUSG00000069006
mm16916 ENSMUSG00000038208
mm16917 ENSMUSG00000038467
mm16910 ENSMUSG00000021951
mm16911 ENSMUSG00000045691
mm16912 ENSMUSG00000028857
mm16913 ENSMUSG00000053119
mm8703 ENSMUSG00000020346
mm5554 ENSMUSG00000024008
mm8701 ENSMUSG00000010609
mm8700 ENSMUSG00000024524
mm8707 ENSMUSG00000015291
mm8706 ENSMUSG00000039620
mm8705 ENSMUSG00000020230
mm8704 ENSMUSG00000022052
mm9696 ENSMUSG00000037935
mm9697 ENSMUSG00000059984
mm9694 ENSMUSG00000026523
mm9695 ENSMUSG00000027514
mm9692 ENSMUSG00000032712
mm9693 ENSMUSG00000031022
mm9690 ENSMUSG00000037776
mm9691 ENSMUSG00000057421
mm9698 ENSMUSG00000029633 ENSMUSG00000046836
mm9699 ENSMUSG00000024793
mm1065 ENSMUSG00000042055
mm1064 ENSMUSG00000034471
mm1067 ENSMUSG00000064080
mm1066 ENSMUSG00000064043
mm1061 ENSMUSG00000026950
mm1060 ENSMUSG00000037993
mm1063 ENSMUSG00000026553
mm1062 ENSMUSG00000030223
mm1069 ENSMUSG00000032480
mm1068 ENSMUSG00000029313
mm3188 ENSMUSG00000051242
mm13739 ENSMUSG00000002767
mm13738 ENSMUSG00000049057
mm3189 ENSMUSG00000019866
mm13733 ENSMUSG00000047960
mm13732 ENSMUSG00000042527
mm13731 ENSMUSG00000037674
mm13730 ENSMUSG00000044106
mm13737 ENSMUSG00000066817
mm13736 ENSMUSG00000025175
mm13735 ENSMUSG00000061653
mm13734 ENSMUSG00000021103
mm6873 ENSMUSG00000056605
mm6872 ENSMUSG00000022199
mm6871 ENSMUSG00000041308
mm6870 ENSMUSG00000014303
mm6877 ENSMUSG00000027230
mm6876 ENSMUSG00000052003
mm6875 ENSMUSG00000044357
mm6874 ENSMUSG00000043090
mm6879 ENSMUSG00000047696
mm6878 ENSMUSG00000026816
mm9520 ENSMUSG00000034910
mm9521 ENSMUSG00000001865
mm9522 ENSMUSG00000055700
mm9523 ENSMUSG00000063169
mm9524 ENSMUSG00000048582
mm9525 ENSMUSG00000035528
mm9526 ENSMUSG00000024682
mm9527 ENSMUSG00000038991
mm9528 ENSMUSG00000031233
mm9529 DIP:283N
mm4589 ENSMUSG00000051721
mm4588 ENSMUSG00000066436
mm4585 ENSMUSG00000023882
mm4584 ENSMUSG00000014668
mm4587 ENSMUSG00000005864
mm4586 ENSMUSG00000002981
mm4581 ENSMUSG00000025328
mm4580 ENSMUSG00000022340
mm4583 ENSMUSG00000028826
mm4582 ENSMUSG00000037731
mm1979 ENSMUSG00000032109
mm22869 ENSMUSG00000067094
mm22868 ENSMUSG00000033208
mm22867 ENSMUSG00000045438
mm22866 ENSMUSG00000018930
mm22865 ENSMUSG00000057084
mm1978 ENSMUSG00000042425
mm22863 ENSMUSG00000000982
mm22862 ENSMUSG00000055031
mm22861 ENSMUSG00000042380
mm22860 ENSMUSG00000058342
mm14428 ENSMUSG00000040550
mm14429 ENSMUSG00000028128
mm23408 ENSMUSG00000067551
mm23409 ENSMUSG00000067261
mm23406 ENSMUSG00000067288
mm23407 ENSMUSG00000035885
mm23404 ENSMUSG00000068715
mm23405 ENSMUSG00000068911
mm23402 ENSMUSG00000039811
mm23403 ENSMUSG00000055100
mm23400 ENSMUSG00000069375
mm23401 ENSMUSG00000066427
mm7580 ENSMUSG00000020659
mm7581 ENSMUSG00000038224
mm7582 ENSMUSG00000020523
mm7583 ENSMUSG00000038572
mm7584 ENSMUSG00000032316
mm14459 ENSMUSG00000024247
mm7586 ENSMUSG00000033544
mm7587 ENSMUSG00000039245
mm7588 ENSMUSG00000067225
mm7589 ENSMUSG00000067229
mm14458 ENSMUSG00000015467
mm14457 ENSMUSG00000044703
mm14456 ENSMUSG00000061722
mm7058 ENSMUSG00000028688
mm7059 ENSMUSG00000030727
mm7052 ENSMUSG00000001436
mm7053 ENSMUSG00000053819
mm7050 ENSMUSG00000063415
mm7051 ENSMUSG00000015134
mm7056 ENSMUSG00000018566
mm7057 ENSMUSG00000045402
mm7054 ENSMUSG00000019779
mm7055 ENSMUSG00000028713
mm17739 ENSMUSG00000025469
mm17738 ENSMUSG00000057710
mm17737 ENSMUSG00000063849
mm17736 ENSMUSG00000068909
mm17735 ENSMUSG00000050641
mm17734 ENSMUSG00000067786
mm17733 DIP:273N ENSMUSG00000024959
mm17732 ENSMUSG00000042761
mm17731 ENSMUSG00000060568
mm17730 ENSMUSG00000056411
mm14288 ENSMUSG00000024505
mm14289 ENSMUSG00000057998
mm14286 ENSMUSG00000017286
mm14287 ENSMUSG00000044729
mm14284 ENSMUSG00000051401
mm14285 ENSMUSG00000025058
mm14282 ENSMUSG00000054204
mm14283 ENSMUSG00000031791
mm14280 ENSMUSG00000029311
mm14281 ENSMUSG00000057209
mm15779 ENSMUSG00000039850
mm15778 ENSMUSG00000034449
mm19258 ENSMUSG00000007338
mm19259 ENSMUSG00000040770
mm19252 ENSMUSG00000021537
mm19253 ENSMUSG00000040141
mm19250 ENSMUSG00000068522
mm19251 ENSMUSG00000052312
mm19256 ENSMUSG00000045971
mm19257 DIP:483N
mm19254 ENSMUSG00000054031
mm19255 ENSMUSG00000027301
mm17889 ENSMUSG00000051867
mm17888 ENSMUSG00000039640
mm17881 ENSMUSG00000052852
mm17880 ENSMUSG00000022738
mm17883 ENSMUSG00000043463
mm17882 ENSMUSG00000054452
mm17885 ENSMUSG00000067315
mm17884 ENSMUSG00000067965
mm17887 ENSMUSG00000053963
mm17886 ENSMUSG00000020830
mm15483 ENSMUSG00000028219
mm15482 ENSMUSG00000042385
mm15481 ENSMUSG00000038366
mm15480 ENSMUSG00000009248
mm15487 ENSMUSG00000055541
mm15486 ENSMUSG00000063666
mm15485 ENSMUSG00000057778
mm15484 ENSMUSG00000023185
mm24670 ENSMUSG00000069951
mm24671 ENSMUSG00000067325
mm15489 ENSMUSG00000021768
mm15488 ENSMUSG00000059820
mm24674 ENSMUSG00000068170
mm24675 ENSMUSG00000066138
mm24676 ENSMUSG00000067174
mm24677 ENSMUSG00000066327
mm21000 ENSMUSG00000022820
mm21001 ENSMUSG00000066908
mm21002 ENSMUSG00000062518 ENSMUSG00000063245
mm21003 ENSMUSG00000060865
mm21004 ENSMUSG00000045862
mm21005 ENSMUSG00000027637
mm21006 ENSMUSG00000052482
mm21007 ENSMUSG00000023905
mm21008 ENSMUSG00000050625
mm21009 ENSMUSG00000065968
mm4800 ENSMUSG00000041360
mm4801 ENSMUSG00000035852
mm4802 ENSMUSG00000032135
mm4803 ENSMUSG00000059000
mm4804 ENSMUSG00000029674
mm4805 ENSMUSG00000041117
mm4806 ENSMUSG00000030230
mm4807 ENSMUSG00000050667
mm4808 ENSMUSG00000051951
mm4809 ENSMUSG00000057093
mm20359 ENSMUSG00000058289
mm20358 ENSMUSG00000067652
mm20357 ENSMUSG00000033731
mm20356 ENSMUSG00000062981
mm20355 ENSMUSG00000066577
mm20354 ENSMUSG00000067479
mm20353 ENSMUSG00000024258
mm20352 ENSMUSG00000060949
mm20351 ENSMUSG00000033598
mm20350 ENSMUSG00000057526
mm21918 ENSMUSG00000059102
mm21919 ENSMUSG00000056316
mm21916 ENSMUSG00000068359
mm21917 ENSMUSG00000007656
mm21914 ENSMUSG00000068905 ENSMUSG00000066584
mm21915 ENSMUSG00000068908 ENSMUSG00000066586
mm21912 ENSMUSG00000028802
mm21913 ENSMUSG00000068490
mm21910 ENSMUSG00000056816
mm21911 ENSMUSG00000046438
mm388 ENSMUSG00000041444
mm389 ENSMUSG00000004098
mm380 ENSMUSG00000039477
mm381 ENSMUSG00000039457
mm382 ENSMUSG00000036792
mm383 ENSMUSG00000038564
mm384 ENSMUSG00000021375
mm385 ENSMUSG00000030516
mm386 ENSMUSG00000006551
mm387 ENSMUSG00000043636
mm9014 ENSMUSG00000066370
mm968 ENSMUSG00000032356
mm969 ENSMUSG00000041763
mm964 ENSMUSG00000041544
mm965 ENSMUSG00000005621
mm966 ENSMUSG00000038604
mm967 ENSMUSG00000037519
mm960 ENSMUSG00000055866
mm961 ENSMUSG00000035401
mm962 ENSMUSG00000033282
mm963 ENSMUSG00000037851
mm9016 ENSMUSG00000029012
mm23877 ENSMUSG00000066993
mm23876 ENSMUSG00000068343
mm23875 ENSMUSG00000068067
mm23874 ENSMUSG00000068933
mm23873 ENSMUSG00000061174
mm23872 ENSMUSG00000068775
mm23871 ENSMUSG00000066841
mm23870 ENSMUSG00000068247
mm23879 ENSMUSG00000068655
mm23878 ENSMUSG00000067883
mm9012 ENSMUSG00000059600
mm9013 ENSMUSG00000055835
mm2099 ENSMUSG00000044252
mm2098 ENSMUSG00000059921
mm1214 ENSMUSG00000034252
mm16548 ENSMUSG00000045589
mm2091 ENSMUSG00000061950
mm2090 ENSMUSG00000003778
mm1218 ENSMUSG00000036526
mm1219 ENSMUSG00000005609
mm2095 ENSMUSG00000000881
mm2094 ENSMUSG00000034122
mm2097 ENSMUSG00000051648
mm2096 ENSMUSG00000037224
mm15110 ENSMUSG00000023909
mm2778 ENSMUSG00000006204
mm2779 ENSMUSG00000036264
mm2774 ENSMUSG00000026198
mm2775 ENSMUSG00000021340
mm2776 ENSMUSG00000022519
mm2777 ENSMUSG00000021470
mm2770 ENSMUSG00000032648
mm2771 ENSMUSG00000020387
mm2772 ENSMUSG00000039046
mm2773 ENSMUSG00000020361
mm11089 ENSMUSG00000036062
mm12265 ENSMUSG00000058991
mm1519 ENSMUSG00000032481
mm1518 ENSMUSG00000028917
mm1515 ENSMUSG00000062444
mm1514 ENSMUSG00000006711
mm1517 ENSMUSG00000032875
mm1516 ENSMUSG00000029249
mm1511 ENSMUSG00000052713
mm1510 ENSMUSG00000036879
mm1513 ENSMUSG00000007827
mm1512 ENSMUSG00000000915
mm8639 ENSMUSG00000023961
mm8638 ENSMUSG00000022684
mm5209 ENSMUSG00000026117
mm5208 ENSMUSG00000027249
mm8633 ENSMUSG00000052595
mm5204 ENSMUSG00000027612
mm8631 ENSMUSG00000033717
mm5206 ENSMUSG00000049849
mm8637 ENSMUSG00000062190
mm8636 ENSMUSG00000045179
mm5203 ENSMUSG00000049658
mm5202 ENSMUSG00000031858
mm9898 ENSMUSG00000028466
mm9899 ENSMUSG00000032557
mm9892 ENSMUSG00000031112
mm7988 ENSMUSG00000035934
mm9893 ENSMUSG00000001418
mm7989 ENSMUSG00000028280
mm3917 ENSMUSG00000031755
mm3916 ENSMUSG00000054083
mm3915 ENSMUSG00000039630
mm3914 ENSMUSG00000042688
mm3913 ENSMUSG00000027188
mm3912 ENSMUSG00000028841
mm3911 ENSMUSG00000039121
mm3910 ENSMUSG00000003458
mm3919 ENSMUSG00000042208
mm3918 DIP:5772N
mm7982 ENSMUSG00000024101
mm10689 ENSMUSG00000034544
mm24476 ENSMUSG00000066008
mm24477 ENSMUSG00000068133
mm24474 ENSMUSG00000067607
mm24475 ENSMUSG00000069172
mm24472 ENSMUSG00000069003
mm24473 ENSMUSG00000069693
mm24470 ENSMUSG00000069940
mm24471 ENSMUSG00000066484
mm24478 ENSMUSG00000068992
mm24479 ENSMUSG00000068991
mm7119 ENSMUSG00000050846
mm7118 ENSMUSG00000038957
mm7113 ENSMUSG00000040714
mm7112 ENSMUSG00000026781
mm7111 ENSMUSG00000035621
mm7110 ENSMUSG00000068709 ENSMUSG00000068710 ENSMUSG00000068712 ENSMUSG00000059127 ENSMUSG00000060292 ENSMUSG00000067366
mm7117 ENSMUSG00000052819
mm7116 ENSMUSG00000002658
mm7115 ENSMUSG00000003808
mm7114 ENSMUSG00000001891
mm12190 ENSMUSG00000021958
mm12191 ENSMUSG00000015787
mm12192 ENSMUSG00000040950
mm12193 ENSMUSG00000062878
mm12194 ENSMUSG00000066850 ENSMUSG00000069477
mm12195 ENSMUSG00000018500
mm12196 ENSMUSG00000061278
mm12197 ENSMUSG00000020358
mm12198 ENSMUSG00000025158
mm12199 ENSMUSG00000058053
mm10497 ENSMUSG00000064370
mm10496 ENSMUSG00000024972
mm10495 ENSMUSG00000024970
mm10494 ENSMUSG00000064174
mm10493 ENSMUSG00000030399
mm10492 ENSMUSG00000034732
mm10491 ENSMUSG00000036503
mm10490 ENSMUSG00000028836
mm10499 ENSMUSG00000050558
mm10498 ENSMUSG00000028706
mm6248 ENSMUSG00000061815
mm6249 ENSMUSG00000036902
mm6240 ENSMUSG00000026435
mm6241 ENSMUSG00000017715
mm6242 ENSMUSG00000047686
mm6243 ENSMUSG00000027324
mm6244 ENSMUSG00000033409
mm6245 ENSMUSG00000057266
mm6246 ENSMUSG00000025428
mm6247 ENSMUSG00000020334
mm10721 ENSMUSG00000064238
mm10720 ENSMUSG00000003762
mm10723 ENSMUSG00000039973
mm10722 ENSMUSG00000033313
mm10725 ENSMUSG00000004127
mm10724 ENSMUSG00000028538
mm10727 ENSMUSG00000030272
mm10726 ENSMUSG00000029319
mm10729 ENSMUSG00000025576
mm10728 ENSMUSG00000055547
mm23679 ENSMUSG00000020163 ENSMUSG00000058676
mm23678 ENSMUSG00000066888
mm12381 ENSMUSG00000062164
mm12380 ENSMUSG00000060124
mm12383 ENSMUSG00000035637
mm12382 ENSMUSG00000003273
mm12385 ENSMUSG00000033966
mm12384 ENSMUSG00000032369
mm12387 ENSMUSG00000050028
mm12386 ENSMUSG00000050921
mm12389 ENSMUSG00000050102
mm12388 ENSMUSG00000004473
mm8799 ENSMUSG00000028712
mm16891 ENSMUSG00000066684
mm16890 ENSMUSG00000066682
mm16893 ENSMUSG00000067640
mm16892 ENSMUSG00000029446
mm16895 ENSMUSG00000046664
mm16894 ENSMUSG00000024185
mm16897 ENSMUSG00000062739 ENSMUSG00000063612 ENSMUSG00000066597
mm16896 ENSMUSG00000067318
mm16899 ENSMUSG00000067480
mm16898 ENSMUSG00000050520
mm6936 ENSMUSG00000025094
mm6937 ENSMUSG00000015882
mm6934 ENSMUSG00000023940
mm6935 ENSMUSG00000049397
mm6932 ENSMUSG00000030546
mm6933 ENSMUSG00000031241
mm6930 DIP:677N
mm6931 ENSMUSG00000041891
mm6938 ENSMUSG00000030759
mm6939 ENSMUSG00000012889
mm9223 ENSMUSG00000059555
mm9222 ENSMUSG00000021940
mm9221 ENSMUSG00000035274
mm12658 ENSMUSG00000042351
mm9227 ENSMUSG00000034001
mm9226 ENSMUSG00000026277
mm9225 ENSMUSG00000021912
mm9224 ENSMUSG00000017858
mm12653 ENSMUSG00000068662
mm20882 ENSMUSG00000066955
mm20881 ENSMUSG00000045952
mm12650 ENSMUSG00000039555
mm12657 ENSMUSG00000043310
mm12656 ENSMUSG00000042129
mm12655 ENSMUSG00000030298
mm20884 ENSMUSG00000057674 ENSMUSG00000058725 ENSMUSG00000060756
mm16769 ENSMUSG00000068865 ENSMUSG00000067756 ENSMUSG00000068562 ENSMUSG00000068846 ENSMUSG00000067645 ENSMUSG00000069523
mm16768 ENSMUSG00000068866 ENSMUSG00000068125 ENSMUSG00000068561 ENSMUSG00000069850 ENSMUSG00000069524 ENSMUSG00000069197 ENSMUSG00000068805
mm16763 ENSMUSG00000020448
mm16762 ENSMUSG00000062551
mm16761 ENSMUSG00000056201
mm16760 ENSMUSG00000020600
mm16767 ENSMUSG00000047168
mm16766 ENSMUSG00000069832 ENSMUSG00000069658
mm16765 ENSMUSG00000041995
mm16764 ENSMUSG00000054230
mm17388 ENSMUSG00000046027
mm17389 ENSMUSG00000066939
mm17382 ENSMUSG00000068275
mm17383 ENSMUSG00000031809
mm17380 ENSMUSG00000022956
mm17381 ENSMUSG00000032239
mm17386 ENSMUSG00000031556
mm17387 ENSMUSG00000062107
mm17384 ENSMUSG00000030682
mm17385 ENSMUSG00000035335
mm4260 ENSMUSG00000025962
mm4261 ENSMUSG00000032358
mm4262 ENSMUSG00000063540
mm4263 ENSMUSG00000026017
mm4264 ENSMUSG00000002409
mm4265 ENSMUSG00000030382
mm4266 ENSMUSG00000021635
mm4267 ENSMUSG00000052052
mm4268 ENSMUSG00000069116
mm4269 ENSMUSG00000030929
mm8570 ENSMUSG00000002949
mm8571 ENSMUSG00000022253
mm8572 ENSMUSG00000053654
mm8573 ENSMUSG00000028172
mm8574 ENSMUSG00000041777
mm8575 ENSMUSG00000018589
mm8576 ENSMUSG00000066613
mm8577 ENSMUSG00000030890
mm8578 ENSMUSG00000026181
mm8579 ENSMUSG00000034159
mm18000 ENSMUSG00000003531
mm18001 ENSMUSG00000047003
mm18002 ENSMUSG00000036513
mm18003 ENSMUSG00000067105
mm18004 ENSMUSG00000053246
mm18005 ENSMUSG00000066101
mm18006 ENSMUSG00000007837
mm18007 ENSMUSG00000018648
mm18008 ENSMUSG00000023106
mm18009 ENSMUSG00000036764
mm17968 ENSMUSG00000068280
mm17969 ENSMUSG00000048967
mm17966 ENSMUSG00000029203
mm17967 ENSMUSG00000030222
mm17964 ENSMUSG00000066510
mm17965 ENSMUSG00000063042
mm17962 ENSMUSG00000031937
mm17963 ENSMUSG00000066890
mm17960 ENSMUSG00000066271
mm17961 ENSMUSG00000047842
mm4227 ENSMUSG00000037709
mm19359 ENSMUSG00000040653
mm19358 ENSMUSG00000048984
mm19357 ENSMUSG00000047840
mm19356 ENSMUSG00000060224
mm19355 ENSMUSG00000047370 ENSMUSG00000050628
mm19354 ENSMUSG00000044103
mm19353 ENSMUSG00000024668
mm19352 ENSMUSG00000033583
mm19351 ENSMUSG00000044835
mm19350 ENSMUSG00000031509
