ce6621 T07D1.2
ce13150 F43G6.4
ce13153 C07A4.1
ce13152 F13E6.3
ce13155 W09B6.5
ce13154 Y71A12C.2
ce13157 Y57G11C.3 DIP:26505N
ce13156 DIP:25669N
ce14271 W04H10.4
ce18566 F41D3.7
ce2718 T07A9.9
ce2719 M28.2
ce2868 R11A5.7
ce2869 T04D3.3
ce2866 F15E6.9
ce2867 K03A11.4
ce2864 C06B3.2
ce2865 DIP:24759N
ce2862 M57.1
ce2863 Y97E10AR.2
ce2860 K10D3.2
ce2861 E02C12.10
ce18651 Y53H1A.4
ce991 Y4C6A.2
ce5728 Y37A1B.5
ce5729 T19D7.7
ce5724 C05C10.1
ce5725 W02B12.7
ce5726 ZC434.7
ce5727 C14A4.13
ce5720 C44B7.10
ce5721 F11C3.1
ce5722 ZK418.2
ce5723 F10B5.3
ce9878 F55G11.6
ce14006 T27C4.1
ce3863 Y82E9BR.16
ce7988 C05B5.2
ce7989 Y116A8C.21
ce7986 Y17D7B.6
ce7987 Y8G1A.2
ce7984 F14F8.6
ce7985 F54E4.4
ce7982 T22B2.3
ce7983 C08E3.6
ce7980 Y73F8A.18
ce7981 Y22D7AL.7
ce13017 T17A3.6
ce14005 F19H6.4
ce18116 Y54E10BL.5
ce19562 T09A12.5
ce7808 C06G3.5
ce14273 F21F3.6
ce16557 C14C6.2
ce14003 Y49A3A.4
ce14451 F27E5.4
ce14000 Y57A10A.35
ce6007 Y57A10A.11
ce18119 ZK856.7
ce4703 DIP:26691N C05C10.3
ce5254 F08F3.7 DIP:24453N
ce14001 K10B2.3
ce9876 Y66D12A.11
ce8323 Y46G5A.18
ce391 ZK662.4
ce390 C03A7.1
ce393 DIP:25071N C16A3.8
ce392 VC5.3
ce395 F11H8.4
ce394 W02D3.10
ce397 Y39B6A.30
ce396 K12C11.4
ce399 C46A5.4
ce398 F44G3.8
ce5582 F53F10.2 DIP:25621N
ce5583 D1007.5 DIP:26339N
ce5856 Y49A3A.1
ce5857 C33H5.18
ce5854 C27B7.6
ce5855 C07A9.7
ce16937 Y37E11B.3
ce4702 T01B4.1
ce8246 DIP:26892N B0218.3
ce15148 Y52E8A.1
ce8322 T14B1.1
ce6585 R03D7.4
ce6584 F16H11.3
ce6587 T27F6.6
ce6586 F01G10.3
ce6581 C49A9.5
ce6580 Y46G5A.13
ce6583 W07G4.2
ce6582 F07A5.1 DIP:24670N
ce16502 M04D8.7
ce6589 Y111B2A.5
ce6588 B0563.6
ce11183 C28A5.3 DIP:25676N
ce3808 T05F1.2
ce4705 F26H9.2
ce18655 F17C11.13
ce12249 F40D4.7
ce5756 DIP:26060N
ce2122 T02E9.3
ce18767 F52F10.1
ce18766 F33A8.2
ce18765 Y73B6BL.14
ce18764 C08G5.5
ce18763 Y59E1B.2
ce18762 F31D4.9
ce18761 Y106G6D.6
ce18760 F54D10.6
ce5736 R07C3.3
ce2120 R05G9R.1
ce18769 F59A1.6
ce18768 Y32B12A.5
ce15302 Y113G7A.14
ce15303 ZC239.5
ce15300 F22B3.9
ce15301 T10B10.6
ce4459 DIP:24756N D2045.9
ce15307 C47E12.9
ce4989 C01B10.6
ce15305 F22E5.20
ce4455 T01G5.2
ce4454 T11F8.4
ce15308 Y116A8A.3
ce4456 ZC455.5
ce4451 T10B5.5
ce4450 C07E3.4
ce4453 C02H7.1
ce4452 C30G12.7
ce14312 C55A6.12
ce14313 C24D10.4
ce14310 C16C8.14
ce12670 W03C9.1
ce19144 DIP:27217N F26E4.6
ce11919 F58B3.8
ce14314 T26E3.1
ce4072 C05E11.5
ce19148 W02D9.8
ce19149 W06G6.2
ce14318 F28D1.5
ce11918 R10E4.11
ce6633 F23F1.9
ce4071 B0212.2
ce6631 F13B6.3
ce12676 F10A3.11
ce4707 F25B5.6
ce11917 Y54F10BM.10
ce4070 Y67H2A.10
ce11799 W05B2.1 W05B2.5 DIP:26667N
ce11798 F58E6.5 DIP:26578N
ce16275 B0250.2 DIP:24529N
ce16236 C54C8.6
ce11795 C18D4.5
ce11794 C33E10.2
ce11797 M195.1 DIP:26119N
ce11796 ZC239.19
ce11791 ZK353.4
ce11790 Y37E11AL.3
ce11793 F59H6.11
ce11792 C49H3.8
ce4187 F27B3.2
ce18738 W06G6.9
ce17658 M162.1
ce17659 R10H10.6
ce4183 R107.1
ce4182 F41E7.9
ce4181 T24B1.1
ce18739 F08F3.1
ce17652 Y97E10AM.1
ce17653 C25E10.9
ce17650 C26B2.7
ce17651 Y39B6A.32
ce17656 K02E11.7
ce17657 C31H5.7
ce17654 C04F12.4
ce17655 C38C3.6
ce4679 F59E10.2
ce4678 B0331.2
ce8831 C14H10.1
ce16429 Y71H2AR.3
ce8837 C34D4.10
ce11911 B0205.11
ce8835 C50E10.8
ce16096 R12H7.3
ce4671 T11F9.4
ce17825 C34E11.4
ce4673 F36H5.11
ce4672 Y39A1A.17
ce4675 B0564.4
ce4674 T18D3.1
ce4677 C05D2.4
ce17824 Y59E9AR.1 Y59E9AR.7
ce1001 Y37E11AM.1
ce665 C25G4.10
ce1003 F43C1.1
ce4078 C03H5.5
ce1005 K09C4.10
ce10123 Y48A6C.4
ce1007 C04H5.3
ce9505 T06C12.3
ce1009 H04J21.1
ce1008 M01F1.7
ce4939 F45D11.15 F45D11.14 F45D11.16
ce667 T10G3.5
ce3245 B0361.3
ce18247 C34D4.3
ce11434 F53C11.3
ce15145 M163.3
ce666 C49H3.1
ce942 C25A8.4
ce17828 T08B2.10
ce661 Y71A12B.15
ce16420 C02F5.5
ce15903 Y41E3.13
ce660 K10B4.1
ce16421 F44G4.6
ce663 K08E4.1
ce16426 C25G4.3
ce662 F57C7.1
ce11403 C07A9.1
ce16427 C16D6.1
ce15146 T28D9.2
ce8055 F26B1.5
ce943 K12F2.2
ce16424 E01A2.5
ce8054 C12D5.2
ce16425 Y75B12B.5
ce15902 F08G5.3
ce16651 T13C5.7
ce16650 F19F10.4
ce10666 C07E3.6
ce8056 Y19D10A.2
ce16655 ZC132.8
ce16654 Y54G2A.3
ce16657 F11C1.4
ce16656 K09H11.6
ce16659 DIP:25298N R02F2.9
ce3007 F21A10.4
ce3247 Y42H9AR.4
ce11787 ZK809.7
ce15147 ZK1320.3
ce15905 F10A3.3
ce8053 C29F5.1
ce1507 F47G3.1
ce12704 C44F1.3
ce8052 T27A10.7
ce3844 ZK512.6
ce19714 C53B7.6
ce6427 T20F10.5
ce6688 B0035.11
ce2759 C32F10.1 DIP:25487N
ce3246 C43H6.4
ce16807 C17C3.11
ce6689 Y48B6A.10
ce15140 H01G02.3
ce7544 F31F4.12
ce6686 C06A12.5
ce13939 C33A12.3
ce7545 F32D8.10
ce6687 T27D12.4
ce17742 K10H10.7
ce13932 C03D6.5
ce13931 F16G10.11
ce13930 F14H3.6
ce13937 C43H8.2
ce6684 Y119D3B.17
ce13935 F40F4.7
ce13934 D1022.3
ce10558 F31F4.14
ce6685 F39H12.1
ce8673 C47A10.4
ce3241 T28A8.6
ce6682 F01D4.8
ce15141 C10G8.2
ce8672 F54D8.4
ce6683 Y106G6A.1
ce4660 F13D12.4 DIP:25038N
ce6897 F35H8.3
ce9269 ZC404.8
ce6680 T05A1.1
ce3501 C09F12.2
ce2751 C14C10.3
ce9265 C44E12.1
ce9264 B0261.7
ce9267 F49C12.3
ce6681 F59F3.2
ce9261 K06B9.5
ce6895 K11C4.4
ce9263 C05E4.2
ce9262 Y32B12C.2
ce6894 DIP:27198N Y43F8C.6
ce3240 W01G7.1
ce7378 K06B4.10
ce12374 F09F3.11
ce7374 F01F1.11
ce7377 F48G7.11
ce16526 F07D3.2
ce17802 K12H6.9
ce7370 T07D10.5 H16D19.2
ce7373 C15H11.6
ce7372 ZK757.4
ce11940 ZC455.8
ce16261 C50C3.5
ce11942 Y82E9BL.14
ce11943 Y82E9BL.11
ce11944 Y22F5A.6
ce16265 ZK856.14
ce1919 Y111B2A.11
ce1642 F55A12.5
ce1917 Y69H2.3
ce1916 F09E5.5
ce1915 T10D4.6
ce1914 T05H10.7
ce1913 C17H11.6
ce1641 K08F4.1
ce1911 DY3.5
ce1910 B0336.1
ce3243 F29C4.8
ce1640 C24A1.3
ce15143 F37F2.3
ce1131 DIP:27185N T22F7.3
ce1646 H26D21.2
ce9009 Y82E9BL.13
ce9008 ZC142.1
ce638 DIP:24325N C07F11.1
ce639 DIP:25582N K08E7.5
ce10245 C54F6.1
ce1645 E03A3.6
ce9001 F10B5.2 DIP:26090N
ce9000 DIP:25785N C35D10.2
ce9003 Y60C6A.1
ce9002 DIP:26916N K06H6.1
ce9005 Y95B8A.5
ce9004 C17C3.1
ce9007 F25D1.2
ce9006 H05B21.4
ce3242 Y47G6A.4
ce7518 F13D2.2
ce13497 F40E3.6
ce12372 K06B4.9
ce1354 R07E3.6
ce7511 ZK829.6
ce9160 T01G6.9
ce7513 F09E5.2
ce7512 T22D1.8
ce7515 M176.8
ce7514 T19D12.7
ce7517 C27C12.3
ce7516 T28A11.2
ce8247 DIP:27352N
ce1820 W03B1.2
ce1827 Y48G1A.4
ce1826 C56C10.13
ce12373 K06A4.1
ce14415 DIP:27480N K03E6.4
ce1825 DIP:26304N Y73B6A.5
ce1824 DIP:25365N F07A11.3
ce15028 F43D2.3
ce8240 W02F12.4
ce15687 C54E4.5
ce15686 Y39G8B.10
ce15685 K02D7.2
ce15684 C13B7.6
ce15683 R13.4
ce19712 F54D12.4
ce15681 DIP:27233N
ce15680 DIP:25417N ZK180.4
ce1298 DIP:26679N
ce7078 DIP:26012N
ce5327 R06C7.3
ce10173 C40H1.9
ce15689 Y49F6B.5
ce15688 Y46G5A.8
ce16884 T01D1.4
ce16885 T08B2.8
ce16886 C01B10.7
ce16887 ZK337.4
ce16880 K07E8.6
ce16881 F35H12.7
ce16882 C55F2.2
ce16883 ZK112.5
ce18659 T09A5.7
ce15169 K10C2.2
ce16888 F22E5.9
ce8241 Y45F10A.4
ce16832 C24H10.3
ce6358 T22C1.11
ce6359 C39E9.12
ce6350 C49A1.3
ce6351 T28D6.2
ce6352 C32B5.1
ce6353 Y16E11A.1
ce6354 F43C1.2
ce6355 Y116A8A.9
ce6356 R09D1.6
ce6357 F35H12.3
ce14417 B0563.7
ce17801 B0244.4
ce3326 T19H12.6
ce12418 F58F9.6
ce12417 Y119D3A.2
ce17136 W07A12.8
ce17135 F36A2.6
ce12414 M02F4.8
ce10241 T07C5.5
ce12412 C06E2.1
ce17131 F36A2.10 DIP:27202N
ce17130 DIP:26048N W08E12.8
ce8356 Y67D8B.1
ce8357 F28G4.2
ce8354 Y39A1A.16
ce8355 K04G11.5
ce8352 K09H9.1
ce8353 C24G6.5
ce8350 K04F1.6
ce8351 F13H8.3
ce3658 DIP:25497N F38A5.13
ce3659 F45E6.2 DIP:26021N
ce8608 T20B3.12
ce8609 K09E4.1
ce8358 K07G5.6
ce8359 M01B2.11
ce10309 M02H5.10
ce6135 F46H5.2
ce6136 Y39B6A.29
ce6137 C02B8.5
ce6130 Y41D4B.16
ce6131 C07A9.8
ce6132 Y106G6H.1
ce6133 C25A1.11
ce10301 F15E11.11
ce8243 DIP:25682N T07D10.3
ce10242 ZK1037.3
ce4442 F54D1.4
ce10305 F48G7.1
ce10304 K02H11.3
ce10307 Y44A6C.2
ce10306 T06E6.8
ce10963 F49C12.4
ce3218 K09H11.4
ce19618 B0213.17
ce14411 B0286.1
ce8279 Y48C3A.11
ce3324 F14F11.1
ce18322 F42H10.2
ce15024 M176.5
ce8278 K11H12.9
ce856 B0412.3
ce17675 ZK1320.10
ce19619 W01H2.2
ce14410 C25A1.2
ce15004 Y62H9A.4
ce4682 DIP:26162N
ce7414 ZK666.7
ce651 C24A8.3
ce3325 Y56A3A.16
ce4683 DIP:26209N Y110A7A.10
ce2299 T14D7.2
ce2298 Y67A10A.9
ce2295 M28.4
ce2294 C06G3.9
ce2297 DIP:27339N
ce2296 F28C6.6
ce2291 C50E10.4 DIP:25161N
ce2290 DIP:24357N T05A8.4
ce2293 F09F3.9
ce2292 DIP:25463N Y39B6A.1
ce8271 DIP:25694N W02A2.1
ce9468 T06C12.1
ce3910 B0218.2
ce14413 DIP:25265N F33H2.3
ce8273 DIP:26256N T16H12.4
ce3322 ZK858.6
ce18320 F19G12.3
ce15022 R08D7.8
ce8272 DIP:26227N
ce8275 T04B8.3 DIP:26289N
ce8274 R07E4.6 DIP:26281N
ce706 C36B1.1
ce18158 C18D4.4
ce8277 F55A8.1
ce14412 F20C5.3
ce707 C46G7.4
ce18154 Y39H10A.5
ce18155 C10E2.5
ce18156 K06A9.3
ce18157 Y69A2AR.8
ce18150 F47B10.5
ce704 K09E2.4
ce18152 Y80D3A.11
ce18153 R10E11.9
ce16466 C46E10.8
ce11307 Y73B3A.9
ce16464 ZK637.15
ce11305 Y17G7A.1
ce16462 Y43F8C.8
ce16463 R07C3.14
ce11300 F37C12.2
ce16461 H10D18.1
ce19683 F20B6.9
ce702 C14F5.3
ce19681 F08B4.3
ce19680 Y54C5A.1
ce15306 R10F2.4
ce19686 C39D10.1
ce16468 DIP:24704N Y75B12B.2
ce16469 F56F12.1 DIP:25012N
ce5445 C08B6.4
ce11932 T10E10.5 DIP:26466N
ce5447 C07F11.2
ce5446 K08F9.1
ce5441 ZK896.5
ce700 DIP:27141N C34F6.9
ce5443 R07B7.9
ce5442 W03G11.4
ce3599 ZK742.2
ce3320 ZC15.2
ce9464 T24G10.2
ce5449 ZK622.3
ce5448 Y73B3B.4
ce19151 T03D8.7
ce14301 K02E7.4
ce18487 K01D12.9
ce18484 C49H3.3
ce18485 F38E11.1
ce18482 F21D12.5
ce18483 F36G9.15
ce18480 F44G4.3
ce18481 T22A3.2
ce10326 C35A11.3
ce18488 B0546.1
ce18489 ZK643.7
ce13458 DIP:26666N F57G4.5
ce18379 F41C3.4
ce4868 Y70D2A.2
ce4869 D2023.6
ce4864 R07E3.5
ce4865 T23G11.5
ce4866 C37A5.1
ce4867 C04G2.11
ce4860 K02F6.7
ce4861 T11F9.2
ce4862 Y57G11C.32
ce4863 Y48A6B.6
ce16790 B0252.4
ce16791 Y39B6A.4
ce11160 Y44E3B.1
ce11161 F59D12.1
ce16794 F35C5.11
ce17899 C50E3.3
ce16796 F28F5.1
ce16797 ZK418.3
ce16798 T13A10.2 F19G12.1
ce16799 C24D10.6
ce11168 C08F1.3
ce11169 C54E10.3
ce15083 Y55F3BR.6
ce18552 K12H6.4
ce7415 C34D4.9
ce18499 C41C4.9
ce18209 C15H9.11
ce5082 ZK546.2
ce10003 Y32B12B.6
ce19156 Y34F4.4
ce16958 Y37D8A.18
ce10323 F53F1.8
ce11936 F23C8.8
ce18554 F55C5.1
ce8615 T04B2.7
ce9207 F40D4.11
ce15517 K01A11.1
ce15516 Y54E2A.9
ce15515 F52D2.10
ce15514 B0454.5
ce15513 R09E10.2
ce15512 T02H6.9
ce15511 Y104H12BL.1
ce4247 Y49F6B.4
ce2696 C26C6.5
ce4249 Y23H5B.5
ce7847 K09F5.5
ce15519 T28A11.3
ce15518 B0403.1
ce19355 C33E10.1
ce19354 F41E7.4
ce14105 Y35H6.3
ce14104 DIP:26781N F53F4.10
ce19423 C18A3.10
ce19350 C43F9.7
ce14101 F28C12.6
ce14100 K10G9.2
ce19359 Y32B12A.4
ce19358 T07C12.13
ce19429 Y38E10A.13 Y38E10A.26
ce14108 F53C3.3
ce10321 DIP:26477N T05G5.3
ce8338 DIP:26029N ZC477.2
ce19545 F53F4.16
ce14577 F45D11.12
ce674 EEED8.5 DIP:25759N
ce10320 DIP:26355N F30A10.3
ce13335 C04H5.2
ce10958 R04D3.6
ce10959 C54H2.1
ce18814 F49H6.8
ce10954 Y69E1A.1 T16A9.5
ce10955 T05E11.6
ce10956 K06H7.7
ce10957 ZK596.3
ce10950 D2045.7
ce18817 R08B4.5
ce10952 F42A8.3
ce10953 C25F6.7
ce1214 Y6G8.2
ce1215 H15N14.1
ce1216 VT23B5.1
ce18816 W02D9.7
ce1210 C31C9.6
ce1211 T07C12.8
ce17972 F21C3.5
ce1213 F36G3.1 DIP:27493N
ce18811 K09C8.7
ce1748 ZK418.6
ce1749 DIP:24326N H15N14.2
ce1218 H04J21.3
ce1219 T06A10.1
ce3899 B0218.1
ce415 F58H7.6
ce9131 M88.3
ce13333 DIP:26342N W06B11.1
ce19066 T07C12.10
ce7899 Y39B6A.15
ce13332 DIP:25347N
ce12900 C05E7.4
ce19065 Y46H3C.7
ce4367 Y71H2AM.9
ce11525 F43B10.1
ce16959 C33C12.4
ce1781 F56C11.2
ce18047 F59A2.5
ce19062 Y37D8A.26
ce8039 Y44F5A.1 DIP:24535N
ce8038 W03G9.6
ce7748 T05F1.8 C33F10.12
ce7749 Y42H9B.1
ce8033 F44A2.4
ce8032 Y37E11AL.1
ce8031 C40H5.6
ce8030 F57G8.6
ce8037 F26D11.2
ce8036 Y38F2AL.3
ce8035 Y9C2UA.1
ce8034 B0207.3
ce3892 T04C9.6
ce3893 ZK563.2
ce11016 C24B9.10
ce9748 ZC190.2
ce9749 C06B8.3
ce15221 Y106G6E.4
ce9742 F08A8.7
ce9743 Y57G7A.7
ce9740 F55G11.5
ce9741 ZK652.10
ce16447 Y54G2A.33
ce9747 T01G5.5
ce9744 Y70C5C.6
ce9745 C01G10.8
ce8297 T05B4.7
ce8296 F53G2.2
ce8295 T15D6.5
ce8294 F15D3.2
ce8293 F47C10.1
ce8292 C41G6.3
ce8291 T24A6.14
ce8290 C14B1.4
ce8299 K04A8.1
ce8298 T02E9.1
ce4204 K03D10.3
ce15220 F57A10.4
ce13218 DIP:26178N F46F11.2
ce10188 W04G3.1
ce18976 F18E9.6
ce13217 T03F6.3 DIP:25269N
ce13214 W08F4.6
ce13215 C15A7.2
ce13212 C16C4.2
ce13213 C06A1.2
ce13210 Y57G11C.11
ce13211 D2089.3
ce4207 F39E9.12
ce4200 C14A6.5
ce4201 F21D5.1
ce15223 F11G11.3
ce15166 Y48A6B.5
ce4376 F48B9.1
ce4202 Y39D8B.3
ce6508 C53B7.7
ce15167 C05D11.3
ce4203 T10H4.4
ce967 C36B1.8 DIP:25830N
ce15164 C39E9.2
ce13133 K01D12.5
ce13132 T07D3.1
ce13131 F44C4.5
ce13130 R10D12.13
ce13137 F07B7.8 K06C4.1
ce13136 ZK1290.7
ce13135 F59H6.8
ce13134 H12D21.9
ce11444 K07D4.3
ce13139 M01D1.7
ce13138 F45B8.2
ce7597 Y37A1B.10
ce6027 C16E9.2
ce15163 Y65B4A.3
ce2540 W03B1.8
ce15160 T27F7.1
ce4208 C29F3.2
ce15161 C40H5.2
ce17774 DIP:25096N Y57G11C.12
ce2848 ZK822.3
ce2849 F58F9.7
ce5714 F36H9.1
ce17777 Y73B6BL.27
ce11447 ZK892.1
ce2840 W03H9.4
ce2841 ZK1053.4
ce2842 F53H2.3
ce2843 C06G3.7
ce2844 F21H12.4
ce2845 F47D12.1
ce2846 F12F6.8
ce2847 F59F4.1
ce12906 Y56A3A.11
ce9813 F20H11.3
ce9810 C27D6.10
ce17964 E03A3.4
ce9816 Y119D3A.4
ce9817 T21B4.5
ce9814 Y71H2B.2
ce9815 T21B4.6
ce9818 T05G11.7
ce9819 T09D3.1
ce8952 F22B8.1
ce3469 F58H7.1
ce3468 DIP:24726N T27A3.1
ce15558 Y65B4BR.5 DIP:25064N
ce13689 D1086.4
ce15168 F29C6.1
ce3461 F10B5.8
ce3460 C24G7.1
ce3463 F39H2.5
ce3462 F15D4.4
ce3465 Y43F11A.5
ce13680 F26A1.6
ce2198 C08B6.7
ce13682 Y75B7AL.2
ce2592 C44E4.5
ce6413 DIP:25904N K08E3.8
ce2590 DIP:24527N C02B10.5
ce2591 Y71G10AL.1
ce2596 T10F2.3
ce2597 F30A10.7
ce2594 K08E7.3
ce6412 DIP:25730N ZK250.8
ce2598 Y40B10A.4
ce19427 ZC190.9 Y75D11A.1
ce6411 DIP:25224N F31E3.2
ce16529 DIP:25947N R10E11.8
ce9664 Y40B1B.3
ce15553 Y23H5A.2
ce17839 F47B3.2
ce6410 F56D3.1 DIP:24648N
ce9165 R13D7.2
ce16955 Y65B4A.7 DIP:24930N
ce6417 T07D3.9
ce6416 F45H7.4
ce14575 T21C9.11
ce8221 T14A8.1
ce6415 F53A2.7 DIP:27466N
ce19426 F59H6.3
ce6414 K04F10.6 DIP:27246N
ce16528 Y75B8A.20 DIP:25583N
ce5332 C44B7.6
ce10792 T22G5.1
ce10793 W07A8.4
ce10790 K07G5.4
ce10791 T10D4.10
ce10796 F31F4.13
ce10797 T15B7.4
ce10794 ZC239.9
ce10795 K01H12.3
ce10798 Y68A4A.9
ce10799 F22E5.4
ce14482 Y71H2B.11
ce14483 F23B2.6
ce14480 F35B3.4
ce14481 T11F9.19
ce14486 Y37D8A.4
ce14487 F19D8.2
ce14484 Y46G5A.35
ce14485 F08F8.7
ce449 ZK783.4
ce16527 F38A5.7 DIP:24613N
ce14791 C13C12.1
ce5718 F44E2.7
ce19469 Y67D8C.8
ce12624 M199.7
ce12625 K07C6.15
ce12626 C06E4.8
ce14148 F26H11.5
ce12620 K03H9.2
ce12621 F38C2.6
ce12622 K03E6.5
ce12623 F31F6.3
ce12628 C17E7.9
ce12629 C40A11.5
ce6893 DIP:25747N T01G9.2
ce4477 B0304.3
ce18740 ZK112.4
ce4475 R10E8.4
ce4474 C40C9.2
ce4473 B0361.11
ce19424 C05D12.7
ce4471 Y19D10B.2
ce4470 Y105E8A.2
ce18749 F09G8.7
ce18748 C48E7.11
ce11442 F49E8.5
ce4479 M04B2.5
ce4478 ZC455.6
ce2336 F55D10.3
ce19391 C47C12.2
ce2334 R119.1
ce2335 Y108F1.2
ce2332 ZC123.1 DIP:27238N
ce2333 F01F1.7
ce10178 R09E12.4
ce19390 Y53G8AM.2
ce10176 T26E3.9
ce10177 C18E3.1
ce10174 F58G4.5
ce10175 C17B7.2
ce10172 B0280.1
ce19393 F15E6.4
ce2338 F52H3.1
ce10171 Y105C5A.6 Y105C5A.5 Y105C5A.4 Y105C5A.3
ce6659 F19C7.8
ce6658 M02H5.3
ce19168 Y42A5A.5
ce18490 F58F6.5
ce12302 D2024.4
ce19162 DIP:25911N F53A9.2
ce19395 H05L03.3
ce19160 ZK84.5
ce19161 DIP:25840N R09B3.2
ce19166 F22D3.5
ce12828 F44F4.10
ce19164 M04D8.2
ce19394 F23H12.9
ce5874 DIP:25695N C04C3.2
ce5875 DIP:27464N K06A1.5
ce5876 F19B10.4
ce17220 R08D7.5
ce5870 F46F5.7
ce19397 R09B5.3
ce5872 DIP:24643N F42D1.2
ce5873 DIP:25574N F32A7.3
ce12307 M02G9.3
ce19396 C39B10.6
ce5878 T24D1.2
ce7940 F25H2.8
ce18730 T05C1.5
ce17882 C49G9.1
ce4653 T07G12.7
ce19422 Y40A1A.2
ce4651 M01B12.5
ce7941 T26H2.8
ce4657 C37A2.4
ce4656 Y41G9A.6
ce4655 T19B10.7
ce4654 W02C12.3
ce18671 F33E11.5
ce4659 C33C12.3 DIP:24530N
ce4658 C03A7.11
ce4018 DIP:24355N W08D2.3
ce18670 T08A9.8
ce2548 ZC373.1
ce18673 C04E6.13
ce14572 ZK858.3
ce17910 D1022.2
ce18672 Y9C2UA.2
ce18731 Y41C4A.18
ce12309 Y45F3A.9
ce18492 ZC168.2
ce6097 F14B8.3
ce1029 F23H12.6
ce12308 Y76A2A.1
ce845 F54B11.3 DIP:25045N
ce2535 DIP:27174N F55A4.5
ce1023 ZC21.2
ce1022 DIP:26622N F54C8.3
ce1021 T19D12.4
ce1020 C50F2.2
ce1027 H40L08.3
ce1026 W08D2.7
ce1025 C48D5.2
ce1024 ZK675.2
ce10089 C33A12.11
ce6859 F38E11.3
ce6093 K03H6.4
ce18732 Y46G5A.34
ce8930 F52D2.1
ce6092 F07E5.1
ce3163 B0334.3
ce844 ZK896.8
ce6091 ZK813.5
ce9829 T20B12.2 DIP:26447N
ce6090 C46F9.4
ce6910 B0361.7
ce11428 F19B10.5
ce10082 T23F11.5
ce13579 H10D12.2
ce16954 T24H7.3 DIP:24765N
ce16318 Y62E10A.3
ce3492 Y50D4C.3
ce6917 F48E8.7 DIP:25997N
ce5306 M176.2 DIP:24712N
ce5307 R12B2.4 DIP:25404N
ce16639 T02E1.8
ce16638 F52D1.2
ce9828 ZK938.2 DIP:26389N
ce5303 Y48A6C.5
ce5300 F35G12.12
ce15431 C17G10.7
ce16633 Y19D2B.2
ce10086 C09H5.5
ce16631 C04G6.10
ce16630 F58G6.7 DIP:27035N
ce16637 F57B1.1
ce15432 C36C5.6
ce16635 F49E8.6
ce2539 F44G3.7
ce16314 DIP:25286N F46A9.5
ce10913 W04E12.9
ce6099 DIP:24833N Y48G1C.1
ce18734 C01G10.15
ce16315 R02F11.1 DIP:26186N
ce15434 Y5F2A.3
ce6098 C25A1.4 DIP:24275N
ce16860 H14E04.4
ce15435 W05B10.2
ce13915 DIP:26544N Y43C5B.2
ce13914 DIP:26244N F30F8.3
ce13917 Y49F6C.1
ce13916 C54E4.1
ce13911 DIP:24826N R10D12.14
ce15436 C25H3.12
ce13913 F25D7.1 DIP:25923N
ce13912 F33D11.11 DIP:25665N
ce7531 T26C11.7
ce11426 W09D6.2
ce15437 R166.3
ce13919 ZK218.1
ce15292 F45E4.9
ce19251 B0302.2
ce16311 C11G10.1
ce14433 F26D10.11
ce15438 T28C6.3
ce968 C05D12.2
ce15293 Y75B7B.2
ce18735 Y97E10C.1
ce16312 DIP:24286N W03D2.5
ce1689 C50H2.3
ce1688 C02C6.1
ce1687 F52D2.6
ce1686 DIP:26172N F25B5.4
ce1685 C54G10.2
ce1684 K02F6.3
ce1683 F21D9.5
ce1682 C26D10.4
ce1681 DIP:25126N Y116F11B.10
ce1680 K09G1.4
ce9247 T28H11.3
ce9246 K07F5.12
ce9245 F21H7.7
ce9244 C37H5.1
ce9243 R02D5.3
ce15296 C34C12.7
ce9241 DIP:25740N F44C8.7
ce9240 C13G5.2 DIP:25550N
ce11425 F53F8.2
ce12241 ZK896.6
ce15297 T28A11.18
ce19252 C54C8.9
ce524 ZK54.2
ce14573 C17H12.10
ce9248 F57A10.1
ce969 F13H8.10
ce4815 ZK593.1
ce18736 F21F8.6
ce850 DIP:25631N F49E7.1
ce11702 C50H11.17
ce4814 ZK1248.1
ce522 DIP:24942N T06E4.1
ce10668 F44F4.7
ce523 DIP:26562N F02A9.6
ce7689 F35C5.9
ce7688 F35C5.3
ce6029 F09D12.2
ce10669 T04A11.12
ce5444 F09G8.5
ce520 T01E8.3
ce7681 F44C8.3
ce7680 B0334.6
ce8978 F56E10.1
ce9596 F40E3.5
ce7685 C29F7.1
ce7684 F41B5.10
ce7687 T03F7.7
ce7686 C29F7.2
ce1979 T01H8.1 DIP:25198N
ce1978 F10G7.1
ce11703 Y37D8A.3
ce16249 F46E10.11
ce4365 C08F8.4
ce7172 F59B8.2
ce1971 F58A4.5
ce1970 Y41E3.4
ce16240 DIP:25965N D1081.6
ce16241 F01D5.1 DIP:27353N
ce1975 F32B4.8
ce1974 F55A3.2
ce1977 C06G8.2
ce16245 K11D2.1
ce9023 C47F8.6
ce9022 C16C2.4
ce9021 T01C8.4
ce9020 Y6E2A.6
ce9027 F47C10.4
ce615 DIP:24621N Y71F9AL.17
ce9025 F49E12.12
ce9024 Y71F9AR.2
ce618 F45E4.3
ce13578 Y55F3BR.5
ce9029 C47E8.6
ce9028 F59A1.12
ce7996 T26H2.3
ce2248 T10F2.1 DIP:24961N
ce7176 R07B7.16
ce9214 F40D4.8
ce13627 T13G4.6
ce860 F37A4.7
ce7175 M02H5.7
ce7073 F49D11.4
ce19584 C29F9.12
ce12821 F07G11.2
ce9216 ZK1058.3
ce3701 DIP:25315N
ce7205 Y69H2.7
