F1PX62	F1MZA9	D3ZV26	A2BED8	Q96II8
F1PDB3	G5E595	B2RYU1	Q7TNG8	Q70EL3
E2R9L3	F1MKV9	P13852	Q8CJ27	P50151
F1Q0E7	A7MB15	P29676	Q9QZ10	Q9Y614
E2RE51	Q0IIH5	Q8BFS3	G3XA20	Q59E89
F1PPQ3	Q0V8S0	D3ZK34	Q6ZWX6	P51858
P01353	Q17QH7	Q9EQL9	P35584	Q8NFU5
E2REI6	A0JNH7	Q561Q8	Q60875	Q99437
F1P9S0	E1BKP4	Q1JU68	Q8VDP4	Q99707
J9P337	F1N1Z5	A0A0G2JSI1	Q9D5T7	P56703
J9JHG7	Q2KI74	D3ZYL0	P70434	Q86YZ3
J9NSJ4	F1MSH3	F1LXV3	Q9D4J7	Q70IA6
E2R4Q6	E1B9N8	Q5U313	O88935	Q9Y5Z9
F1PXQ2	Q2KJ89	A0A5C5	Q8CFX3	P36915
F1PGH5	E1BDI3	D4A891	Q91WG5	O15391
J9P7F9	O97593	Q80WL2	E9Q564	Q9BZK3
F1PSA2	E1BHV7	Q3MID7	A2ATY4	P01011
F1PX61	E1BCV0	D4A4A9	Q8BFQ4	Q5U5Z8
F1PEK6	Q58CX6	P70616	Q8BGR5	Q7RTY1
E2RB92	F1MI38	Q0VJ96	Q9Z1B7	Q9NX47
F1PM32	A7E369	F1LQB0	Q9WU38	Q6NS38
F1PSR2	F1N6W4	Q4FZY1	Q3UJP5	Q86TW2
J9P7T5	F1N6I8	Q6PDU4	Q7TME0	Q02086
J9PAW2	F1MIF2	A0A0G2K2C7	Q60931	P14868
F1PGJ2	A4IFC1	Q99PT0	P08030	Q9P2X3
F1PPC0	E1BP61	P56745	Q9JJZ6	Q9NZZ3
E2RTB3	F1ME94	Q7TSY2	Q7TN73	Q8IY37
E2RMS4	Q17QY0	Q63246	Q9CQL5	Q9H1Y0
E2RDQ7	M0QVZ4	O88658	P18872	Q9BX97
E2QW01	Q2HJ22	D3ZHV2	Q8BHW9	Q96S55
F1PLN7	P61763	D3ZIH5	Q7TN31	Q6NSH1
E2R481	F1N510	Q3B7T9	Q8K194	P63098
F6Y1C9	F1MEL4	P17955	Q6PE01	Q8NEJ0
E2R889	F1MNV1	Q9R064	Q8R395	Q8IZY2
E2RH75	O46680	A0A0G2K2N0	P17439	Q00266
F1PUL3	A0A140T8A8	M0R6B1	Q9QZW0	Q96CP6
E2R498	E1BNP1	Q68FU6	P60898	O95271
E2RED3	F1MPV3	A0A0G2QC27	E9QK83	Q9BTB7
E2RRS5	G3MXU2	O88764	Q80V76	Q68J44
F1PA65	G3N2V0	D3ZPA8	P48722	P68431
J9NSP7	E1BM16	Q62886	P49764	Q16720
E2QWY6	F1MID0	D4A5U3	Q6A068	Q9BWS9
E2RST1	F1MP13	Q6AXU2	Q9QZA0	P04435
E2RDR7	A4IF94	Q5BJP9	Q3UPH1	Q9UPY8
F6V404	F1N4A1	F1M8Z5	P41155	Q9BSG5
J9P2Q9	G3N315	Q4KM52	F6Z7L1	P09603
F1PYD6	Q0P592	P05982	Q99LG4	P54855
E2RPL9	A2VDK3	G3V9K8	Q62232	Q96MC4
E2RS70	E1BKX3	P52631	Q60953	Q5QP82
E2REG5	E1BPZ0	Q05140	Q91WN4	Q99592
F1PIA4	F1MY55	B1WC85	O88898	O94842
J9NU21	A6QPQ5	Q6AYA1	O35984	Q9Y3A4
F6XV51	E1BLG0	F1M0C0	Q99JZ0	Q5T4F7
J9P589	Q3T0I6	F1LRM3	P97812	Q8N129
F1PLD0	G3MYV7	M0R3X4	Q91X34	O96014
E2QUQ3	F1MJH1	Q6P9Y4	Q99JF8	O95988
F1PXT4	E1B6X8	Q498N4	A0A286YDR3	Q9NYS7
J9P2P6	F1MRM3	P10158	Q91ZR1	Q86VU5
F1Q3J6	E1BDF7	A0A0G2JXZ9	Q6ZPV2	Q9H6G9
E2QWL7	E1BIZ7	F6Q5K7	P59110	Q8TF76
A0A0A0MPB0	Q1KZG0	P43144	Q8VHP8	P13929
E2QUV7	A1A4K7	P53809	A0A0R4J249	Q8IZ07
F1PZQ9	Q0VCS2	D4AD02	Q99ML6	Q9H237
F1PIT0	F1MYC6	D4AAH6	Q99LU8	O14929
F1Q2J9	G5E6J3	D4AC97	A0A0R4J0P3	O75037
E2RJV6	Q3ZBY4	P18163	Q80Z38	Q6P582
E2QTU8	Q29RI6	Q9Z1N1	Q60963	O14842
E2RAN6	F1MNE1	D4AAV4	Q91V83	Q9UHQ4
J9PAD8	P68002	P21272	Q9Z1T1	Q12874
F1PKT2	F6PZ29	Q3MIE4	Q8VDP6	Q96A26
F1P9G4	A6H772	O08679	E9Q1G8	Q07955
E2RPY9	Q2KI22	Q8CHJ4	P26638	Q15555
F1PYJ6	F2Z4I2	D4A2Y9	Q8BLQ0	A0A0S2Z5S9
F1P7Y5	E1BNY6	M0R934	Q3UW53	Q68DE3
F1P8K0	F1MQU5	Q496Z9	Q91VI7	P0DPB3
F1Q3Y1	F1N1R8	D4A853	Q6IMF0	P0CJ78
E2RQI7	Q17QI4	A0A0G2JVK3	A2AHZ3	P33981
E2RRJ6	F1MIT4	Q5XIM7	G5E896	Q9P2J5
E2RRL7	F1N232	B3DMA5	Q9R0P9	Q3B890
E2R4L6	E1BPB4	F1M8D5	P23780	P60331
E2R991	F1N1N9	D3ZR27	Q9QZD8	O96020
F1PKB4	F1MQI5	A0A0G2JUV0	G3X9H7	Q5BKY6
J9P7X5	Q0II26	D3ZRN2	Q8BH74	O15530
E2RLT0	E1BLE4	B2B9A9	Q9D0E3	Q7Z4F1
F1Q1T5	Q56JX6	F1M3H8	Q8BQ46	P13866
F1PIR0	E1BN59	Q68FP7	Q8CI95	P13942
F1P6G3	Q2T9V5	A0A0G2JXZ5	Q8BGS0	Q15771
F6V7I1	Q0VCU9	A0A0G2QC30	Q8BNJ3	Q9UBR2
E2RAT6	F1MG35	G8JLS5	Q8K273	A0A0S2Z3P2
F1P926	G5E508	P97949	Q9ESL4	P49454
F1Q498	E1BME6	Q920P0	E9PUH5	Q8N5X7
F1PIR7	A0A140T8D4	Q642B6	Q6IR34	Q9UBN4
F6V544	G3X6Y3	Q5M821	Q6GQT1	Q8WVJ2
E2RF76	A2BCP4	P23348	B2RV38	Q68DY1
J9JHP5	F1MMK2	G3V662	Q6VNB8	Q96LS8
F1Q3T1	F6QBP1	A0A0G2JWM4	Q8CBY8	P42263
J9P0A5	G3X707	D4A321	Q9EQT3	Q9NNW7
F1P9E2	A2VDN3	Q5HZW5	Q8VD57	P78552
E2RN94	E1BNW5	E9PTK9	E9Q4F3	Q1XH10
F1PVV7	P61603	D3ZJH2	Q3TXU5	Q9Y3B8
E2RFQ1	F1MMA2	Q9QX75	P52592	O95436
E2RA36	Q6B4J2	D4A9M4	Q61312	Q5TEA3
E2R2H2	F1MQM7	B5DEG1	Q80U40	Q9BUW7
L7N0G8	F1MMQ8	A1A5R2	A0A0R4J1A1	O14545
E2R4K3	A8E4M5	A0A0G2K220	Q7TQP0	Q9Y2Q9
F6XJ85	F1MB56	P97570	Q4V9W2	Q6NVH9
J9NW26	F1MCD0	Q8R5H8	B9EKE5	O95925
E2RAH7	A5D9F9	A0A0G2JVP5	Q8BYK5	O60551
F1PNB3	Q2KIK3	G3V8G4	Q7TSC3	P0DML2
F1PW03	A6QLY9	Q9R1R4	E9QN68	P37275
F1PFZ8	Q2TBJ0	Q5XI46	Q8BLE2	Q6AZ91
E2RPZ2	G3N1S2	D4A3T3	Q9JIZ5	Q99623
E2R698	Q5KR48	Q9JLA3	O54950	Q96BY9
E2QUD2	E1B835	G3V8V0	Q9DCL4	Q14802
E2RHE5	Q5BIS9	Q6IFW2	A0A0A6YX89	Q15274
J9NSI6	E1B9C0	O88201	Q8K0D0	Q92781
F1P9A0	P19483	F1LYL9	P59532	P08620
E2QUS2	E1BND6	Q6AYJ5	Q91V12	P54136
F1PU09	A0JNG1	Q62751	Q6PF93	Q9H8W3
Q9TV68	G5E5B3	O88867	Q91ZG2	A2RUB6
F1PRU1	P57709	O35826	Q9DB29	P54762
J9P5S9	E1BES2	D4ADX8	Q8BW41	Q9H255
E2RI21	E1BAU6	B6ID01	E9QMC1	Q15291
E2QWF5	Q1LZA3	B2GV15	Q91W90	Q8IYD9
H9GWC4	F1MBR1	D3ZK81	Q64731	P51617
E2QUX5	A0JNK6	D3ZNV5	P58390	O94805
F1P8H7	F2Z4J7	F1LWQ2	P08775	Q16610
F6XQ10	F1MMW6	Q66HH8	Q9JKF7	O15350
E2RCY4	Q17QU6	D3ZT51	Q64700	P63162
E2REE8	Q17Q91	A0A0G2K862	Q99LH4	B2RU33
J9P872	F1MTG7	A0A0G2K6J6	P29699	Q8IV76
E2R173	F1MU48	P35280	Q8C5Q4	O00198
F1PVE5	G3MYT6	Q3ZB99	P70426	O60218
F1PTK2	F6R951	Q6P686	Q3UHH1	O15321
E2RIK5	E1BDK6	Q6AZ42	Q6PDS9	P20151
E2REN0	E1BE88	Q63279	P62878	Q15287
F1PWC1	F1N7C2	F1LSE5	P97445	Q9Y3M9
J9P5S7	A7Z090	G3V6C1	Q9CZJ1	O14832
J9NRU2	Q3ZBF3	D3ZIV3	Q62426	C9J442
F1PI58	F1MLD6	Q3T1K1	Q80T85	Q92870
E2R7R8	Q5KR47	B5DFN2	Q3UMA3	Q8WTP9
E2QU53	A7Z025	P21708	P20263	Q12906
C0LQL0	A7MB78	D4A8M7	E9Q6B2	H0Y8D1
E2RAI1	Q28056	D4ACA6	Q6DFV5	P01303
E2RL63	F1MYE6	P68370	P98083	A6NHX0
F6Y4A3	A6QNM9	F1M1W4	A0A0R4J237	Q96K78
J9P888	E1BN01	B0BMT2	Q8BQC8	P17019
E2QW22	F1N5V9	F1M6Q3	P17950	P78559
F1PY11	Q05B83	Q4AE70	P49698	P55196
F1PBX0	Q08DH4	D3ZYB6	Q69ZT1	Q96PN8
E2R6M5	F1MTX9	Q5RKH3	Q8BGR3	P17035
E2RN79	A7YWM2	F1LNG5	Q9D0F1	Q8NA42
F6X520	F1MJ46	D4AE24	Q3TQ39	P48431
F6XJV3	Q3T082	A0A0G2JZN2	Q8VI63	P36383
E2R114	A2VE30	A0A0G2K1K0	Q05921	Q8IXM7
E2R4Y8	A6QQN3	F1M386	Q3UJD6	Q9UPQ4
Q1PCT2	E1BGC1	D3ZV88	O08550	P19957
E2RL62	F1MC11	F1M9C0	Q3U5J2	Q6UXB4
J9P041	Q27955	P0C5H9	Q8K094	Q08AD1
F1PUE8	G3X6I8	P13286	Q5SSF7	Q92522
E2RR49	A6QPR8	Q00715	Q9QYK5	Q5VV63
F1PKH2	F1N4W0	F1M6T6	Q91VE0	Q9UDW3
E2REB4	E1BC36	Q00981	Q64701	O14683
E2RC29	Q17QJ7	D3Z9H7	P09631	Q9UIW2
J9NSR3	F1MDN4	A0A0G2K214	Q2TPA8	O95185
E2RMQ3	G3N0C1	P53987	Q922J9	P57053
E2R0V1	A5D7I0	D4AAG0	E9QQ10	Q8WVC0
E2R8C9	Q32LH8	D4A857	Q9D4F8	Q15382
J9P013	Q32PA0	Q568Z2	E9Q7F2	O95292
F1P7Q4	F1MJX4	B5DF29	Q99P88	P35414
F1PKT8	P18341	D4A6Y6	Q8K1T6	Q9UFH2
F1PGZ1	F1MY31	D3ZYC4	Q99M15	Q9BYH8
F1PPQ7	E1BJE0	F1M9I4	Q60925	O00548
Q8I009	Q0VCZ7	P16636	Q9CQX2	Q06413
F1Q1X9	A6QLG6	F1M446	E9PYV1	Q93009
F1PE24	Q765N9	Q6P773	A0A1W2P6J7	P49798
E2RG59	F1MND3	G3V812	Q6P571	Q96M02
F6XM14	Q3SZ99	D4A2D3	Q8C5L6	P45844
Q28264	E1BIE7	D3ZUV2	Q5RL57	Q9Y279
E2QUQ2	Q2HJF1	D3ZQA6	H3BJD7	Q8TD98
E2R7S6	F2Z4H3	D3Z9I1	Q5BKP2	O96028
F1P6I8	P84081	D3ZAT7	Q9R038	Q05952
J9P659	E1BNQ4	D4ACU2	Q62181	Q6RSH7
F1PKP7	A6QPG0	Q925G1	Q9R117	Q8WUJ1
E2RE42	Q32LA8	A0A0G2K4L4	P33215	Q9BXJ4
E2R275	E1BKM8	D3ZF35	Q9D4J3	Q15629
J9PB64	F1MLY0	Q5QD51	Q63871	Q9Y2B4
E2RCF6	Q3SZA6	P62076	Q9Z0P7	Q9HB71
J9P1K1	E1BHU3	E9PT54	Q6PFY1	Q8NB15
E2RPH9	E1BNG2	Q568Z3	Q8VE98	Q01973
F6UMY5	F1MVB5	D3ZSV8	P31695	O60243
E2QXZ6	G3N0K5	D4A3Q3	Q6PGF5	Q641Q3
F1P6B8	Q7YRA3	D3ZUI5	A2ARP1	Q5J5C9
E2REP1	F1MLG1	D4A3D8	Q8VI84	Q12796
E2RIJ0	A1Z2Z3	Q9ESG3	P21440	O15232
F1P8Z8	E1BL29	P02650	Q6P2B1	Q8NCN5
E2RQY3	Q32L50	D4A7P9	Q6ZQA0	Q9BXH1
F1PGM0	Q3T0W4	D3ZMX6	Q6P069	O00238
E2R972	G3X6A0	P08290	Q3UJB9	Q5TAB7
F1P996	F1MNQ3	B2RZ12	Q9JKX4	Q9GZW8
F1PP27	E1BKG7	G3V770	F8VPK5	Q9UN73
F1PWY2	E1BIJ8	A0A0G2JZD1	Q7TSQ8	Q8NAM6
E2QYN6	G5E5P4	Q1HAQ0	O88291	Q09428
E2QXU2	Q02375	P56720	Q5DU02	Q92967
J9P4M6	F1MIT6	Q5FVI6	Q9Z1Y9	O43847
C6L8D7	E1BN92	F7EYB9	P43029	Q9Y696
F1PGT5	E1BCE7	Q4V7A0	A2AFJ8	Q5TG12
F1P8A1	E1BL53	D3ZGR6	O88643	Q14094
E2RSJ7	O02675	A0A0G2K860	Q9D8U8	Q96A37
F1PWR0	A6QLB5	A0A0G2JWR6	Q922B1	Q14184
F1PUN5	G5E5M0	F1LR26	P70270	P07478
F1Q182	E1BDA0	G3V9A0	Q925T4	P62332
F1PAL1	E1B934	Q8K1M5	P01867	Q5JR98
F1Q2X9	F1N0P5	Q7M6Y9	D3Z7I5	Q76I76
E2R2K4	E1BK29	Q62985	H3BLP9	Q9BRI3
E2QZ05	E1BP64	Q4KLI7	Q5SWD9	Q9ULE3
E2RBW2	E1BM02	D3ZV46	Q60638	Q63HK3
J9P8S8	Q1LZF8	P28826	Q505F4	Q8TC90
E2QYQ5	F6RL69	Q5HZA9	Q9QZB7	Q9C098
E2RG61	E1BI49	D3ZTH4	Q8BYN3	Q8TEI3
E2RSY3	A6QQ81	G3V856	Q921H9	Q8WUU5
E2RN68	E1BPA0	A0A0G2K1E3	O35450	O75792
J9P2H1	F6R1G6	D4ACE9	O08665	Q9H7L9
F1PLL6	Q58DR7	P06686	P03930	Q0IIN5
E2RBD2	Q5E9C1	F1M4U0	Q8CD39	Q8TDM0
F1PC86	Q29RM1	A0A0H2UH94	Q9Z0S1	P08908
F1PSI2	Q2KII1	D3ZZH6	P52432	Q9Y2I6
E2RSX5	G3MZT8	Q7TS56	B2RQG2	Q9NRH1
J9P0Y1	E1BN85	D3ZCI9	P28738	Q6ZMT1
F1PV71	Q5EAC3	Q66HE8	P50396	Q9BPZ2
F6UV28	F1MUI8	P04906	Q9QXV3	P27695
F1PD77	F1MMT3	A0A0H2UHS6	V9GX48	P55061
Q5WR07	E1BNK7	P51842	Q9D2U9	P17516
F1PUU5	F1N4X3	A0A0G2K9C0	P97370	Q16643
J9P565	Q58D63	Q9JLT0	O35608	O43248
J9NVC8	F1MXR8	D3ZB92	P26952	Q7L3T8
E2QYR2	Q3ZBJ9	B0BNE9	Q8VI78	Q9NZ81
E2R940	F1MDF1	Q4FZR5	P52482	Q16637
F1PVU4	F1MDZ8	Q924U5	Q9CPV2	O15305
E2QWL1	Q3ZCE8	Q5EAN7	Q9Z255	Q9NVA2
F1PA18	F1N2X8	A7YY82	P31240	P08218
F1PWW4	A6H776	A0A0G2K0K3	A0A0U1RQA8	P25101
J9PBI9	A5PJR0	D3ZZU4	P40753	Q6PIM4
J9P5Y6	H9GW41	Q02759	Q6XBJ3	Q9BZG8
F1PAK4	F1MDB7	Q9EPI2	Q8R3P7	Q8WYN3
A5H7G8	F1MZM1	B1WBV7	Q8BGZ8	P30301
F1P8R9	A7MB52	Q64602	E9QA62	Q9BUH8
P11616	E1B8X5	Q5FVQ7	Q8K595	Q9P278
E2R8Q3	Q2KI43	D4A7I6	E9Q0F0	P24530
F1PML5	Q2NL19	D3ZX02	Q6RFH4	Q9HCQ5
E2RKQ4	G3N2B4	Q4FZR6	Q8R5M2	O43866
J9PA40	F1N733	F1M7U7	Q8BM92	Q96JB2
J9NV63	E1BJL9	D4A2M3	P70172	A6NFY7
E2RIX9	F1MPV4	D3ZC02	Q80VN0	Q06141
F1PVP2	F1MSR4	Q71SA3	Q3UW68	P24394
E2RNM5	F1MQK7	G3V6P5	Q9ES17	Q14244
E2R8N6	C8KIL7	D3ZTX2	O70306	Q8NFH3
E2RE06	P11064	Q4V7C1	O35426	Q6UWU2
E2RGJ5	A7MB64	D3ZBT6	G3X9Z4	P50583
F1PUD1	Q0VCP0	A0A0G2K9M4	O70494	Q8N4H5
J9NWH3	F1MPI9	F7F588	Q8C010	Q13886
F1PGI2	E1BAB7	F1LRA7	Q9JHL0	Q9H1Q7
E2R570	A6QQY6	D4A911	Q8CBI8	O75820
F1PA22	Q24K02	Q62950	Q61655	P35544
F1PB32	E1BMV6	P31647	Q9JMA7	A6NC98
F6V9M3	F1N749	A0A0G2K0Q8	Q9JIF3	Q9UGM6
J9NXU7	Q29S11	Q66H42	Q00993	Q9NWZ5
A0A0B4J1A0	F1N5B2	M0R8Z6	O55023	Q6AI14
E2RLN4	E1BJ59	Q5XI72	Q99LH2	Q9H0S4
F1PB12	E1BK88	Q99M76	Q91WP1	A8MUK1
F6V9J5	E1BBL1	Q63604	Q03146	Q96QS3
F1Q1S9	F1N2T7	Q06880	Q60994	Q8N4B1
E2R2U7	F1MLT3	Q62947	Q9D1E5	O75973
J9P726	P33672	D3ZEI6	P62627	Q9Y324
F6Y037	F1MW91	A0A0G2K527	O55143	B4DXL2
F1P6G2	E1BJP4	G8CYZ7	Q8CCE9	Q9BZJ0
F1PSG6	E1B9Y0	D4A6E6	Q8R3L5	Q8N567
F6XV93	F6RF21	Q62703	F8WJE0	Q9BQ65
F1Q0U3	E1BF23	D3ZKT6	P47876	Q9Y3R5
E2R8R2	F1MUI0	G3V8T0	Q9CRD2	Q96J01
E2R411	Q2TBU2	M0RDC8	Q52KJ6	P43235
E2RDG2	F1MW45	F1LR79	Q3UTJ2	P35527
J9P1T9	E1BF22	D4A545	Q8C6S5	Q9Y6T7
F1PNA5	Q56JW7	Q5XI74	Q80T41	Q96FC7
E2RN80	P02548	G3V6U7	P22091	O75312
F1PR32	F1MPV6	Q5U2P9	Q99KD0	P41225
H9GWY1	Q1LZH5	G3V6I3	Q8K394	Q5JTW2
E2RP82	Q9BDJ6	F1M4A0	Q9WTK2	Q6ZTU2
E2RBA6	F1MZY2	G3V8C9	P47856	O00471
E2R7R2	F1MSF1	F1LYX9	Q8BGY2	Q4G0F5
E2RTB7	F6R277	D4ADF2	P29268	Q9Y4E6
F1Q270	F1MQC6	P62912	P86547	Q8TAZ6
E2QRZ1	E1BLG8	Q07803	Q80TP3	O15047
E2R0X3	Q0P5B9	A0A0H2UHN7	Q9DAJ2	Q9HCJ2
Q2KM14	E1BN13	D3ZJN4	Q9ERN0	Q96L46
E2R9R1	A6QL88	Q9EQE1	Q61425	Q9UKI2
E2RPT5	F1MXZ1	D3ZRJ0	C0HKE1	Q9H871
E2QWP7	F1N2P1	P20781	Q3UTQ8	Q86XD8
F1Q0Y3	Q3ZBX6	E9PTF3	O55125	Q96GC9
E2RHC6	F1MAZ3	Q62780	Q91V92	P0DP25
F1PZ19	Q0VBZ0	D4A678	Q9CQC9	Q9H324
F6XLR7	A5PJP9	Q5FVQ9	Q9QWK4	Q969K4
L7N0I1	E1B9Q4	Q641Z6	Q8C196	Q9P2F8
P62490	E1BMB1	Q5U2Q5	Q9Z2Q5	P13645
F6XGZ6	Q148M8	Q562A2	Q9R0Q6	Q9BUJ2
A0A0A0MPC0	Q2KHX8	D4A8X6	Q3U4X8	Q9NYF0
J9P6M8	E1BET0	B2RZ59	Q5SXY1	Q13217
F1PNM2	Q3SZP2	Q5XIG7	Q9QZS2	P01282
E2RAG5	F1N3M1	D4ACM2	E9QN12	P48637
J9NSS0	Q2NKU0	D3ZRL3	Q6RI63	Q8TBZ8
E2RAE2	G8JKV6	Q920F3	Q99PU7	Q8IUR7
E2R5B2	A8E648	Q68FU3	Q8BN21	O95476
E2RAH3	Q1LZF6	D3ZAM4	Q9CYD3	Q6W6M8
E2R259	G3X7U6	Q6AY80	P52760	Q15043
E2RLY0	A5PJE3	B1WC45	P58871	Q9H8M7
Q9ZZ56	E1BA43	B0BN89	B2RWJ3	Q7Z4U5
F1PHE5	Q2KIC2	Q5FVN0	F6W8I0	P46734
E2RI16	A4IFK5	D4AC05	Q9DBQ9	Q9BQ52
E2RRW1	Q3SZT2	Q6I7R5	Q9DBU0	A2J422
P27799	Q3SZ13	D4A9Y1	Q8BRX9	Q8IYH5
E2RCW3	F1MHQ5	F1LQF5	B1AT83	Q9UNE7
E2QWZ7	P31039	P70595	F6V5B0	O95249
J9NSU8	Q0GBZ5	Q568Z4	O54754	Q9GZX5
E2RC21	A2VDT1	F7EZZ0	Q8BK35	P49721
E2QWT9	A5PJD3	D3ZTX7	P35802	P17542
F1PEM6	E1BK33	D3ZLE1	A2A8W8	Q96L50
E2RQ68	G3X680	Q642E3	B9EI38	Q96DG6
F1Q3R2	F1MZK0	Q5XIS9	O35491	O15527
E2R1J1	F1MXR0	Q3MIB4	Q69ZF8	Q9NPH2
Q5W412	A5PJQ1	Q6PDW4	Q8CHP0	O14498
E2RBX1	E1BC98	G3V8M9	P28867	P36897
F1Q1J8	F1MNC1	F1LLW4	Q8BWD2	Q8TCT9
E2RKY2	F1MYM6	G3V7T3	Q64525	Q9H8Y8
E2RJG0	Q2TBN7	D4A3T2	O08918	Q8N2A8
J9PAA0	A6QR17	P10980	Q9JHF5	Q96BD0
F1Q421	Q3SZK3	A0A0G2JSW4	Q9CXI0	Q8N8X9
E2RFV7	P31976	Q5M7V8	P10107	Q59E91
E2QUK3	E1B8X2	D3ZKD4	P97479	Q96I51
F1P651	E1BAW4	B1H261	Q8BHW6	Q96EK9
E2RK37	A6QL97	Q02563	Q8BT14	P02675
E2RHY0	E1B8X8	F1LXF5	Q9ESU7	P62333
J9P2V8	A6H709	P49620	P20490	Q8TC57
E2QY99	E1BM27	D3ZM14	Q9Z238	Q7Z6H2
E2RIK8	E1BDQ3	Q63583	Q9JHN9	P12034
E2R2K6	Q0VC21	Q3SWU0	Q99LZ3	P52907
E2RQ01	A6QLV9	Q9JKW1	P16388	A0PJX2
F1PCW7	F1MY75	Q53E76	P15533	Q86YR7
F1PUW7	Q3ZBQ0	D4A447	Q9Z2H7	Q9Y2K2
E2QRR5	E1BLZ8	D4A3E3	P43274	P28907
F1PUR4	F1N757	G3V6S6	Q8JZN5	P62195
F1PN67	E1BF74	G3V663	Q9D0D3	O15519
F1P8E6	F1MND0	Q925Q4	Q9D958	Q8WYD6
F1PK44	Q32L54	A0A0G2K8V6	Q3TDK6	Q7Z6M4
E2QVB5	Q9BDK2	Q5I0H5	Q8C9D4	Q6EMB2
E2RRW0	Q0P5C1	Q5XID7	Q6A4J8	P01584
E2R0V0	P27674	D4A197	Q8BWA8	A6NFN3
F1PVL6	Q0VCW2	P04897	P60879	P30550
E2RQI3	E1BB38	A0A0G2JWB6	Q9CY27	P49758
J9NX14	A7Z075	D9I2F9	Q3UBG2	Q9H165
F1PF43	F1MMJ1	Q06646	O88273	Q9UKS7
E2RIQ1	F1MNU6	D3ZMS4	Q8BMD6	Q7LBR1
E2RGD7	E1BI80	G3V9D5	O55176	Q9P2G1
J9NXK2	Q2T9X2	D4ABX6	O88879	Q14781
J9P1J5	Q3T018	E9PTJ1	P17879	Q13514
E2RAS8	Q3T0R7	D3ZTL0	P27048	Q8WYD2
F1PWA3	P43481	Q924Y4	Q80V31	Q92187
E2RFL9	Q3ZBW5	D3ZDZ0	Q8R0S2	P52788
F1P8S9	Q08E52	B4F7A9	O08788	Q15156
E2RC81	F1MV19	D3ZAR2	Q80U63	Q8N539
J9P9J3	F1MD09	P97846	Q05769	B3KSH1
J9PBF1	E1BGR3	A0JPN5	A2ACJ2	P23467
F1PN55	F1MCR4	F1LRL5	O88968	Q15329
F1PPB3	G5E536	F1LRM5	Q9CY57	Q14410
F1PA89	A3KMZ9	D4A235	P00397	Q96AC1
E2RFJ1	A7Z064	M0R7W8	Q66L42	Q8N2M8
J9NUC0	E1BF00	D4A5F5	Q8BZF2	P54849
F1PCX8	F1MMZ9	Q5U2Q7	G3UX50	Q9NSE4
F6UNA4	Q865B7	G3V840	O08738	P25092
E2RP68	F1MRW6	O54922	Q8BW86	P29371
E2QU88	Q29RK4	Q5U2T9	Q9JMA1	Q86VQ1
F1PBA8	F1MCA8	P62997	Q6P542	P54821
J9NW73	C5NU11	P62819	Q62441	Q4KMP7
J9P4G7	Q58DL7	Q5U208	A2A591	P61925
E2QWV4	A7MB14	Q4KM74	Q6Y7W8	Q8WYA1
E2RCK0	E1B800	Q5U2R9	P58058	O15514
F1PCH8	F1MPC9	E9PT30	Q3V5L4	Q9HCN8
E2R7L9	F1MT37	Q9Z0W0	Q9JHX3	Q96HV5
E2R9R9	A4FUE3	G3V6T1	P47941	Q9UHD8
E2QST3	Q3SZX8	A0A0G2K6H8	Q9DCY0	O95456
F1PYN3	F1MJY6	B5DEX8	Q69Z38	Q68CZ1
F1Q2P1	F1MS38	A0A140TAB8	B1ATZ1	P54108
F1PGJ3	F1N215	Q9QYV0	P97346	Q8N9N5
E2RN81	Q9N0P9	Q5M7T1	E9Q5F9	Q68DD2
F1P751	Q29S10	Q4QQR7	Q3TPR7	Q6QNY1
J9NUY0	A7YWD2	Q5BJK8	P25444	Q8NE18
J9PBD8	Q2TBU1	D4A212	Q9ER80	P26717
A0M8V0	Q08DH0	D4AAK5	Q9EQC1	Q13239
J9P2S5	Q2TA17	D3ZVH6	Q91X76	Q7Z4L5
E2RR69	Q5EA24	Q5PQQ7	Q6V4S5	Q96RP7
E2QTI7	E1BA05	P08025	Q8K4K2	Q15399
J9NS77	F1MMN3	A0A0G2K5Z6	M0QW46	B4DXR9
F1PX38	E1BDP2	Q3MHS7	Q3TQF0	Q9NPB8
J9JHM0	F1N608	Q8K553	Q8CDM1	P49765
E2RIA8	G3MZE2	Q71UE8	Q80XD1	P12111
F1PU05	F1N2B2	F1LWL8	Q3U492	Q5VVM6
J9P2Q5	A6H7G3	P55159	Q8BLR5	Q9H3K6
F1PKT4	Q2KIV2	D3ZAZ8	Q9CXK4	Q9HCD6
F6UNG9	Q1RMU5	D3ZH30	Q91VA7	Q9H6F5
F1PZK6	F1MJ20	D3ZSX5	Q8CBG9	Q8TCV5
J9P5T2	F1N192	Q99MH3	G3X961	Q9NUD7
J9P792	Q17QW4	O70534	P30987	Q12791
E2RB30	F1MBU6	Q7TP99	A0A1L1SSC0	Q8NFT8
E2QZX4	E1BNP8	P62859	P52431	Q96EY1
L7N0E0	G1K1U4	D4A6A8	A0A0R4J0B4	Q969S2
J9NYS3	F1MKZ2	A0A0G2K781	Q9JKX3	Q6LC83
J9NXP5	F1MYS0	A0A0G2K1R5	Q8BH58	O95405
F1PDG5	F1MXY4	Q5Q0U0	J3QNH8	P58215
E2RPJ7	Q3SWZ6	Q80YV8	A2ANQ2	P56545
