E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
F1PH91	G3MZS2	Q5FVM6	Q9DBP5	O95347
E2RDT8	A6QLT4	G3V657	Q9JLQ2	Q9Y3D8
E2QWE4	Q1JQA5	A0JPN5	Q6PD31	Q14699
F1PI35	G3N243	A0A0G2QC34	A6H6A9	A8MQ03
F1PSA3	F1MQC6	F1M332	Q4ZJM9	O15182
J9NW79	F1MD46	A0A0H2UHH7	P70340	O15379
J9P3R6	Q5E9F1	Q68FP1	A0A1W2P6S1	P30050
L7N0C0	F1MZ74	Q99NA7	Q9JI91	P61204
J9P160	F1N6R0	Q62921	D3Z7Q2	Q9NZH6
E2RKK6	F1N1H5	A0A0G2K1R5	Q62277	Q96MU7
E2RSK8	E1BB54	A0A096MJP5	Q8VCC8	A0A0S2Z4P3
F1PPK8	F1MIM6	Q6AXW1	Q925E8	P18089
E2RAD2	A6BMK7	Q63158	Q91XY0	Q504Y0
E2RJV3	F1MQH8	Q6AYL9	Q8VDM1	Q9UJF2
Q9MYV3	A5D7G0	Q66H79	Q9CX34	Q08999
J9P3T1	Q02377	A0A0G2K7W5	Q6ZQG6	O15049
F1PVU3	P05126	D3ZBN0	Q99P31	Q9Y662
F1PUU8	F1N7B6	F1LU14	Q80W32	Q9NXB9
F1PL43	F1MIZ7	G3V8N3	P10518	P40616
J9NRG7	E1BJS9	Q505I9	Q9D312	Q8TCG1
F1PIV0	Q17QU4	A0A140TAA2	Q0P5X1	P10646
E2QYG9	F1MZ85	F1LWY9	G3X9D8	Q8N7J2
E2RI20	Q762I5	Q9EQC9	Q80W99	A0A0X1KG74
F1PAJ9	A6QLN3	D3ZTV2	Q6PCX8	P55089
F1PFU1	F1MCF3	F1M8Z0	Q640P2	Q6P2D7
F1PVT9	G3MXS3	Q6U7S0	Q0KK56	Q99962
E2R0C9	A7MB64	Q8K3R4	P07321	Q9H6D8
E2RI70	G3N3D4	Q4QQT2	A2A7F4	Q8WW52
E2R114	Q32L15	D3ZC02	P11725	P01111
E2RMV7	F1MZE1	Q64319	D3YWN7	P42772
E2QV83	G3MZE2	D3ZK36	P24860	Q14161
F1PRT7	G3MY36	B0BN79	Q3UTZ3	Q8IYN0
F1PGZ4	A0JN92	Q5FVK8	Q8CI33	Q9BPZ2
E2RIR5	F1N5E3	D3ZKK4	Q6DYE8	Q17RA1
F1PCF4	G3N260	D3ZUB7	Q9JKM7	Q0VAM2
F1PW12	Q148M7	P50398	Q99LC3	Q13018
E2R8D0	P68432	F1LMY3	G3UW50	Q9H410
F1PYK5	A7YWC9	Q924N5	Q61335	P18754
F1PXQ7	G3X6J7	D3ZR08	Q6P549	Q8TE01
F1PYI1	E1B9P4	F1LZH7	O35892	Q9HBE5
F1PML7	E1BAD7	M0RDK9	Q0VBN2	Q9NV92
F1PS80	F1MBA0	B0K027	Q8R0W1	Q96DR7
E2QTA4	F1MDC0	P20096	Q8BIX3	Q14CX5
F1Q1V6	F1MKJ9	D4ABY6	P54369	Q9Y2G2
E2RGW9	Q3SWW7	F1LR78	Q9CQJ8	Q9P2N4
J9P7E8	A5D7B7	F1M1B9	Q5SXS3	Q9C0J9
J9NY11	A2VDV6	D4A6N9	Q4VAH7	Q9H5X1
E2R612	F1N2V3	Q5XIC7	Q8BTI7	Q5TCH4
E2R3C1	Q5E9D6	Q9ES38	Q8BZ65	Q9ULT6
F1PX36	G5E5H1	Q8CJE3	Q91UZ5	P10589
E2RIG0	F1N1I9	A0A0G2K016	Q8BRG8	Q96JE9
E2RH93	F1N6J8	F1M4W2	Q9QYI4	Q8IZU3
E2RL80	E1BGJ5	Q66HF3	P63248	P16050
J9NZM4	F1MRZ0	D4AE58	E9Q238	Q59F03
E2RTG1	F1MFJ5	B3DM97	Q923A2	Q9UKQ9
E2RCQ1	P79134	A0A0G2JTV2	Q9JKN6	B2RDE6
E2R0J4	P69341	D3ZY35	Q9D8H7	Q9Y294
E2R2V8	P00516	P20411	A2A9C3	Q8IUR7
F6V114	F1MZT6	D3ZG35	Q5SXC4	Q7Z3W2
J9P9H1	A5PKI0	F1LS29	Q04899	Q5VTB9
J9NUA4	Q1JQ97	A0A0H2UHK1	Q3TYS2	O00625
E2QWJ8	F1MQT2	B2GUX5	P61922	Q8N8L2
F6UTX5	E1B789	Q64273	Q8K389	Q6FHY5
E2RJP7	G3X6Z0	Q5BK58	P97946	P34903
F1PQZ7	Q8WN55	D3ZQM0	P14685	Q13322
E2R9U0	F1MDC2	Q5QJV4	Q61743	Q9BUL5
E2RHR0	F1MFH7	D3ZS28	Q5SVR0	Q9HC77
J9NYC8	P84798	F1M2G3	Q6GUQ1	P10072
E2R1V6	F1N5H4	Q920D2	Q8BUB4	P41587
E2QYQ3	E1B9J9	M0R5M5	P06344	Q9UIL8
E2RHA5	Q2KHX7	F1M386	P59279	Q9NP62
E2RPS3	P13909	B2RYJ4	Q9JJF3	Q9Y4Z0
E2R644	E1BKE4	D3ZLA3	E9QJU6	Q9H0B8
E2RKD7	E1BJE1	D4A068	P59280	Q8IYW5
E2RQH0	F1MJS9	M0R7V5	Q3US16	Q8WXU2
J9P6T6	F1MQV8	M0RDC2	Q91ZP3	Q96MF6
J9NXK8	P14769	P13437	Q6PAC4	P35321
F1Q133	Q29460	F1LTK4	Q80YN3	Q969D9
E2R984	F1MM11	Q6AXS4	P42128	Q01860
E2RKU7	F1N1N4	F1LP53	P09022	P61812
F6XGA3	E1BA29	G3V637	Q2QI47	Q9UIL1
E2RR41	Q0VC48	B5DFM2	Q9WV84	P01903
F1PSC0	A6QR30	Q5S3S9	Q14C51	Q13263
F1PGZ6	E1BJ27	F1LSK6	Q9DC37	Q5CZC0
F1PGK8	P10462	G3V9L6	P35276	Q6UWN8
E2QWU7	F1MN16	D3ZU00	Q8BW96	Q8WXI4
F1PW60	F1MMK3	A0JPJ0	Q3TMX7	P23083
F1PIX8	A5D7J5	Q52KJ9	Q61602	P83436
F1PVC0	E1B7H2	B2GV82	O55142	Q9GZZ7
E2RJ14	A6QLK5	M0RBI8	Q6ZPG2	Q8TDY2
J9P856	G3MWZ3	P08104	P40753	O00754
E2RAU1	F1MJB1	F1MAF2	Q3UUE9	P63211
J9NUK8	G3MYK2	G3V6V8	Q9Z273	Q9Y210
F1P9G6	A4FUH7	D3ZCU8	Q9JIG8	Q7Z695
F1PUU9	E1BHF6	A0A0G2K9L7	P35343	Q13610
F1PJL8	F1N4T1	D3ZGS3	Q61526	P02462
F1PA35	A5PKF1	F7F3I7	Q3UFQ8	Q5TYM5
E2RA45	E1BFC3	D3ZC46	Q3UPW2	O15496
E2R3T2	F1MFW8	F1LSM5	A2AJK6	O00461
J9P2W8	Q2YDD7	M0R629	Q80U16	P28288
J9P4Z0	A6QLC9	P97949	Q8R146	Q8N3X1
J9NZW1	F1MWU6	P35281	Q8BHW4	Q99795
F1PZM7	E1BGM1	B2RZ41	Q9JLY7	P61769
E2RN29	F1MF98	A0A0G2K503	O88735	Q9H8M5
F1Q285	E1BB49	G3V878	B2RY64	P48436
J9P413	F1MRA9	D3ZBP3	Q6DIC0	P14210
J9P175	F1MKC8	D3ZKP6	Q9D8Q6	A0A0U1RRL7
J9NRL1	Q32L17	Q4V7D8	A0A0A6YWQ3	Q9BQI0
F1PZC7	F1N6V5	Q63598	Q3TIT5	O75881
E2RBJ3	Q1RML2	D3ZAA8	E9Q2V7	P78451
F1PXI1	F1N6G0	E9PT30	Q8VI56	Q9UHG2
F1PNW8	A5D7A2	Q8CJB9	Q6P1D7	Q9NW61
E2QZ69	F1MJB6	P69736	F8WJ93	Q9Y3D0
E2RJ55	E1BI11	A2VD12	Q8CE96	Q9H4A5
J9NVZ9	E1BPT7	B6RHI6	P70365	Q10471
F1P9D5	A6QQA7	B2RZ23	Q8VI75	Q14191
F1PTZ6	F1MSN5	D3ZT62	E9Q921	Q9BQK8
E2RLN4	F1MT12	G3V614	Q8C7V3	Q13489
F1PMQ9	F1MRZ9	A0A0G2K0K7	Q5SNZ0	Q8NI99
J9P4H5	F1MYX7	Q2TL32	Q6P566	Q6STE5
E2RN88	A0A140T8C6	P16409	Q8BUV3	Q6RFH5
F1Q3K9	F1MJY6	Q6IRG9	Q8BGR2	Q92541
F1PFS8	Q32PI0	M0R8R4	Q5H8A1	Q7Z5A9
F1PUK2	Q3ZBX6	D3ZTW8	Q9DCC5	Q96N21
F1PAF1	G3N048	Q9JJ50	Q8R2R1	Q8TD91
F1PVA3	F1MPD4	D3ZB56	Q99PV8	Q99717
E2RCX6	F1MK99	P30560	G5E893	Q9BVM4
F1PR99	A3KN24	F1M1R9	Q99LG0	Q9Y615
A0A140T8E0	F1MPW7	Q3MIE4	P48036	Q8N7Y1
E2RPG3	Q3MHI4	M0R401	Q8BJ34	Q02846
E2RBP5	A6QLI6	A0A0G2K102	Q8BYR1	Q9H6R6
J9NZW5	A6QPI8	Q4V8C2	Q8CDM1	Q6ZTI3
F1PA95	F1MRC2	F1MAQ4	Q9ESC7	Q8N349
E2R455	A5PKI4	G3V7H4	Q5FWK3	Q9Y2W6
E2RN67	G3N2I1	D3ZLI2	Q8BLD9	O75410
F1Q2J6	Q1RMH9	Q3SWT7	Q9WTV4	Q9H3K2
E2R4A1	E1BCH4	D3ZPQ4	Q9D5L7	P15407
E2R4V3	E1BMU2	G3V7U0	P17095	P13747
F1Q1M8	F1MZ23	D3ZFQ8	Q99K51	P56202
F1P717	F1MQJ0	G3V6Q3	O08523	Q5JPB4
F1P7F6	F1MUZ0	F1M823	Q5RIM6	O75937
F1P6W5	F1MYR3	P60570	Q3UH60	Q05084
F1PR76	F1MGL5	Q5XIB1	Q9JHI2	Q14108
E2RSA6	Q0VCV5	Q5PQJ6	P84228	Q96MW7
J9P5Y7	F1MNG5	D3ZED6	Q9ER41	P27707
J9P9A7	E1BGY1	A0A0G2K3B7	P08152	O95741
E2RG07	A2VE10	P97554	Q8VC69	O96006
F1PAK2	E1B9V7	Q99MB4	Q9D892	P11836
J9P3Q2	E1BMB5	A0JPP6	Q62463	P05451
F1PLN4	E1BL45	B2GV79	Q62407	Q9HB07
E2RIR4	F1N4S1	D3ZYH9	Q3UM20	Q16787
E2RET3	F1N6Q0	O35264	Q9DBL1	Q6V0I7
F1PH19	E1BCF6	G3V9R0	P09803	O75558
E2RAH2	Q3T103	Q4FZY0	Q8BX17	Q86UL3
E2R5Y6	P82915	G3V6C4	Q69ZM6	O75146
E2R0U3	F6RLE1	A2VCX1	Q91XD6	P04264
F1PZR6	E1BE57	D4A6G2	Q9CWQ2	O15444
F1PD03	F1MB54	Q9JIX5	Q8CFN5	P14649
E2RJS7	A7Z054	P34901	A2A9T0	Q9UPT9
F1PSM7	G3N227	F1MAP4	P02772	Q7Z606
E2RR83	E1BMB0	Q5I0I6	Q8C7D3	Q7RTX7
E2RM72	Q2YDF2	F1M3E4	Q3UHK8	Q9P0P0
J9P407	E1BP66	Q5BLX8	F7CBX2	Q7Z5V6
J9JHD8	Q3ZBV4	Q5M891	Q8R0Y6	Q96NL1
E2RJ93	E1BGD5	F1LSM6	Q8R3I2	Q92956
F6V641	E1B8P0	A0A0G2K8Q8	Q99N90	Q9NZC9
E2RME7	F1MDK1	F1M5H6	Q9Z2N8	Q99459
H9GW63	E1BDC9	B2GUV5	P53612	P54274
E2R0K6	E1BM30	F1LMP1	P01660	P78333
F1Q2J9	Q3MHG0	B0BN88	Q9CTH6	Q9BTD8
F1PU84	P04394	D3ZH55	P35585	P05538
F1PN98	F1MLH7	D4AD02	Q9D639	Q17RW2
E2RIR6	E1BEJ7	Q9ERV8	Q07563	Q9BVQ0
J9NW00	Q3SYW7	Q6P756	Q8BGY3	Q17R89
H9GW55	Q2KHW5	F1M541	Q99LB4	Q9NUW4
F6XTU7	A4FUZ2	Q5PQT4	P35428	O95718
J9NUP3	H9KUV0	A0A0G2K0U8	D3Z6V6	Q5T1J5
E2RS60	E1BMN2	H1UBN0	Q9JI78	Q9P0K9
E2R9M1	F1MY14	F1LQ09	A2AR50	Q9BVA6
E2RQM9	E1BEL4	E9PSM5	Q61127	O95864
E2QWS7	F1N4I0	F1M4A4	O08582	Q96CW9
E2RJZ8	Q58DR8	Q5PQL8	Q8CDV6	B7ZBB8
E2RQR5	G5E568	F1LPG3	F6U5V1	Q9BYZ8
F1PCU8	Q2TBK2	Q3B8R7	Q8R4K2	Q9UJ14
E2RPH3	F6QX97	Q6P2A5	Q6PGN3	P78365
J9NZI7	Q56JZ9	Q06496	A2RT67	B3KWQ7
J9P4R1	E1BBW7	D4AE88	Q9EQS3	Q8N9M1
F1PWZ5	Q3T197	M0RAC2	A0A0R4J136	Q8WU57
E2RQP1	F1MPL1	Q5BK68	Q8VEG4	P0C024
E2RE52	F1MT56	Q6P5P5	Q5SUV1	Q7Z403
E2RC61	E1BMT1	Q9QWJ1	Q8BFZ2	Q6UXY8
E2RNM0	G3MZA4	D3Z8J1	P11714	Q9P0S2
J9P3N4	A0JNM0	D3ZBM7	Q8BUP8	Q12908
F1PCZ9	E1BEL2	D3Z8N9	Q3U4N2	Q8WVB3
E2R5E4	G5E600	F7EPZ4	O55236	Q9BW60
F1P8U0	F1MJ64	G3V9R5	A3KGF7	P41143
J9NWW8	P62763	M0RCH5	Q99JR5	Q6VVB1
F1P8M0	E1BPV2	D4A3I8	P55849	Q6R2W3
E2R4D5	Q58DR3	A0A0G2K0X1	A3KGV1	P48637
E2R5J2	A5PJD6	Q5RJR2	P63271	Q86W92
P33703	Q17QZ9	D4A772	Q9WVC3	P12107
F1PL18	Q3SZS9	A0A0G2K5N6	Q80WC7	Q8IUX1
F1PT49	F1MWU9	Q9QUL6	Q6A009	P61970
J9NSP7	Q58DR6	Q6P7Q0	O70137	Q04671
E2QV01	Q8MJ87	Q792S6	Q9R0R1	Q96JZ2
F1P6K4	Q3ZCD3	F1LR42	P09926	O75069
E2RA99	E1BJE5	D4A3D4	Q8BGV7	Q9H900
F6XXG7	F1MXB0	G3V6N9	Q80UN1	P08047
E2RB30	F1MII0	A0A0G2K4B4	O35601	P31949
E2RGN4	G3N1W1	B2RYK2	Q9QXB9	Q9NSY1
Q9XSV3	E1BM28	F1LQ10	Q5RJI2	Q86YL1
J9P5D6	F1MWC7	Q66H39	Q8R1K1	P04156
F6Y625	G3N1W2	Q6MG30	Q8QZY4	Q9NVL8
F1PEH9	E1B9X1	A0A0G2JUT1	Q3U4S0	P28838
E2R8S4	F1MIV2	D3Z8G4	Q9Z0S9	Q9NUC0
J9P2H4	F1N3H1	D4AA88	B2RSH2	P26368
E2R790	Q08E68	Q9JJM9	E9PX09	P58005
F1PDM2	Q1RML1	D3ZWA8	F8VQH0	P05496
E2RN63	A6QP96	D3ZAL8	Q9JL62	Q96MG7
E2RIE4	F1N5L7	A0A0G2JVQ1	P35459	O15370
A1IGX9	A4FUH3	D3Z8E2	Q3UGC7	Q8IZK2
E2QZW9	G3X684	D4A020	Q9WUK2	Q9Y4B6
F1PAC5	A4FV53	M0R5Y9	B1ATC3	Q9H4D4
F1P9X5	F1MQ06	O08628	G3X9N5	Q99619
E2R667	E1BPX9	B4F7A9	A0A0R4J1E2	Q9Y217
F6XQ49	E1BBH2	Q9Z2J4	Q8CGB6	P35568
E2RPW0	A6QQ88	D3ZJD8	A2RST1	Q4KMG0
E2RE13	A5D7M0	F1LRQ6	A0A0R4J0R7	P36957
F1PTJ1	E1BKB9	Q9JMI1	P30415	Q5TH69
F1PF83	A5PJP8	D4A8H3	P21550	P60022
E2REE8	E1BM49	G3V795	Q4VC33	Q9Y2V2
E2RC04	Q3SYS9	D3ZQL4	Q9CY52	Q5BJH2
F6Y816	G3MY47	F1M9Q8	Q8VIG6	O60888
F2Z4P1	F1MQ84	G3V8C9	P70371	P06241
F1PLT1	Q2KI56	B2RZ73	Q01815	Q8NFM4
F1P7M1	F1MIK8	D4A7H1	Q9EQ00	Q86VV4
J9P716	P38409	Q9QWJ9	Q8K370	Q96I99
E2RP68	F1MU80	P20420	Q8BHW9	O60602
F1PBD0	P28801	P12368	O88342	Q96PU4
E2QTB7	G3N166	G3V8F8	Q9D3A8	P08473
E2R1L2	Q3ZBK4	H9KVE7	Q64151	Q96EW2
E2RGG6	G3MYP5	P18395	P30999	P54727
F1PWU8	F2Z4H8	G3V9C0	Q80UG5	P62760
F6X6I6	Q3ZBY4	Q5U2U7	P11911	Q9BU19
L7N0G9	G3MZ53	B2RYU0	P57096	Q68EA5
F1PME7	E1BM97	O88661	Q923Z4	Q9Y3X0
F1PE29	E1BMD4	Q8R560	Q9Z184	Q96CK0
A7VLI5	O46521	M0RCK2	Q9D9T0	Q9HB21
J9JHG4	E1BHT5	M0RAD5	P16460	Q14993
E2QUH9	P13214	D4AE56	Q63880	O14958
J9P1D8	Q58CN7	B0BNA8	E9QP49	Q9UMX9
E2RQV7	F1MZT2	D4A1P2	Q810V0	P0C7T5
J9NTD2	Q29RN3	F1M7M1	Q9D112	Q8NG95
F1P716	A4IFN7	Q6IFW2	Q8QZX2	Q96JM3
J9P7X7	Q2TA37	Q68FS8	P62322	Q9H6T0
F1PAB5	A7YWM6	F1MAB7	Q8BQM8	P28702
E2QUL1	Q1JQA0	Q99PR9	M0QWN7	Q9H7F4
J9P6P8	E1BQ40	P09118	Q8R2X0	O43657
F1P751	F1MGG4	O70239	Q9DCW2	Q14820
E2R8L0	E1B979	P15390	Q9JKY7	Q8NBV8
J9P229	A7MBJ4	Q5M7V1	Q8C1F4	Q5T5Y3
F1Q080	Q3T191	Q4QR83	O08674	Q13443
F6UVJ4	Q0P5A0	D3ZFQ5	G3UYV8	Q06432
E2RL61	A2VE31	D3ZR52	Q1EG27	A1L4L9
F1PY01	F1MPY4	D4AA31	Q80WQ8	P61803
E2RGW5	F1MUE3	Q9EPI6	Q8CDI6	O43914
J9P9Y3	E1BIN7	F7FMS0	A0A0R4J0N7	P19878
F1PAF2	G1K1S1	B5DFL3	Q9Z2L7	Q702N8
Q9ZZ62	F6QLF1	B0BN15	Q91VK4	P26992
Z4YHH2	E1B7T4	F1LNK6	P84096	P13805
F1PU56	A5PJR6	F1M076	Q9R1A3	Q9H6H4
F1PXN7	F1N6Y9	A0A140UHX1	Q8R2V3	Q58FG1
E2RSK6	A7MB69	Q5BK48	Q8C015	Q9UNH5
J9P501	F1N2Z3	D3ZBA3	Q811L6	Q9NQX0
J9PAU4	Q5BLW6	Q4V7B9	Q02395	Q99683
F6UXJ6	E1BBJ8	A0A0G2K278	E9Q735	D6RIA3
E2RB14	F1MNJ0	P06760	B1ARD6	Q16656
P25473	A1A4R9	F1M8V2	Q6A0A2	Q15388
E2RKW1	E1BLN7	D4ADD0	Q9JJ43	Q9H4E7
E2QXD7	E1B7Q3	D3ZRJ3	Q8CIV3	Q8TE96
F1PSM6	F1MY95	D4A3K7	P09528	Q9BYS8
J9P2E0	G8JL04	Q68EJ2	Q9Z1N6	Q9BTW9
J9P7H0	F1MTZ7	B4F789	Q8BWW4	Q96G91
J9P659	A7MAZ6	F1LN48	P51180	Q9UDR5
E2RJF2	F6RBJ1	Q4V8E9	Q61824	Q8WYD7
E2R483	F1MGN0	M0RCD2	Q99LC4	Q92562
E2R706	Q3T0K9	A0A0G2K0T5	O08529	O15451
F1P8U3	F1MLX9	Q66HK4	Q91VN4	Q86WW8
F1P9Q0	F1MFJ2	Q6GX86	A0A0N4SWC3	Q8N144
F1PD72	F1N6M2	A0A0G2K735	P50404	Q96LL9
E2RP79	G3X749	A9UK05	Q2MV57	Q6UX39
F1PPS3	F1MLD6	Q704S8	Q8BLI1	Q8IZU2
F1PIN0	Q05B85	G3V7R0	P08046	Q13562
F1PQM3	F1MMJ1	A2IBE2	Q03347	P57771
F1PWS0	E1BCH2	B2RZ48	Q61696	P34972
F1PHT9	G3MXA1	F1M7Z9	Q99J31	Q96IU4
F1Q1I1	E1BCY7	M0R4H5	Q8R0T6	Q96SI9
F1Q313	F1MB71	F8WFI2	O09173	O95704
F6XIB7	E1BHB9	M0R970	Q64096	Q9BZY9
E2RAB7	Q08DE8	D3ZBM0	Q7TSF1	O94956
E2R7Y6	A6H7E6	A0A0G2K5H2	Q9QXX8	P11279
F1PHT7	A1A4M4	D3ZNC9	Q9Z309	P19835
F1P7R1	Q3ZBH3	Q6AXX5	Q8K4Q8	Q8IWB6
E2RI01	F1MTL6	P35345	Q8BTC1	Q6P995
J9NU40	P82913	P19132	P97291	Q9HAC7
J9NYB0	Q32L67	H9N1L4	Q640N2	Q02952
E2RBR4	F1MIL2	G3V8D8	G3UXB3	Q96B70
E2RG68	Q32LE1	Q6P9U3	Q63961	O43896
J9P7Y7	E1BNU6	A0A0G2K419	Q920E5	Q5TEC6
F1PAT9	Q2NL31	Q5XIS9	Q8K337	Q9P0W8
E2REK9	F1MDE3	F1LQV8	P70390	P0CG32
F1PZS4	E1BJW3	A0A0G2K9B2	Q9D0U1	Q969L1
J9P0Z6	Q3MHI9	F1M7M4	Q5SVQ0	Q8ND25
F1PD77	G3MZX0	G3V722	G3X9J0	Q9NVX2
F1PZR0	E1BGD1	Q5XI17	Q9DAY6	Q9NXG9
E2R4Z4	E1BEQ5	D4A1S8	Q6PEB6	O60664
E2RFZ3	E1BFE0	G3V7L3	Q9JI90	Q9HD34
J9P0U9	E1BQ00	A0A0G2K712	G3X8X0	O15014
E2RIJ8	F1N140	P15823	Q66L44	Q86SG5
E2RAB9	G3MZJ3	F1LPA3	P47867	Q9HBK9
E2RR19	A6H734	F1LPW1	A4QPD1	Q9H479
E2R9H9	Q3ZBF2	D4A5A6	Q9CPV4	Q8WWY3
J9P4H1	F1MVW3	Q6AXU1	Q5FWH3	Q494U1
F6XUQ7	E1BQ03	Q5FWU3	P33896	Q96M95
F6Y2S5	F1N4Z9	F1M4A7	D6RH56	O75781
F1PDG5	F1N1D8	Q924V4	P08074	Q01453
F1PW89	F1MRW4	A0A0H2UHN7	Q8R4L0	Q6ZRK6
E2RHW7	G5E5T1	D3ZT51	Q8R322	Q9UI47
F6V735	A5D7M1	D3ZUD1	P63011	Q9UHF4
E2R6I0	A7YW33	D3ZZC1	P54071	Q8WXW3
E2R5U5	A4IFE5	F1M9G8	Q80VY2	Q8N6R0
E2QYX1	A7YWQ2	Q5XIB4	E9Q1Z0	Q8WZA0
E2QTT8	Q1JPG0	D4A4R9	Q9D6I9	Q96J84
E2RQM0	E1BKR4	D4A3K2	Q8BPQ2	Q96S16
P54827	F1N141	F7EU06	Q9WUJ8	Q08623
F6PMF3	F1MC90	F1M3S0	P57776	Q8N162
E2RGT2	E1BH40	G3V774	J3QQ44	Q96GP6
J9P826	F1MUR2	P11505	P56212	P46976
E2RH18	G3MYK9	Q5HZW5	P61957	Q9BX82
E2R0B6	Q08E45	P62775	E9Q2H1	A6NHC0
E2RHM1	F1MY75	Q9EQG6	Q499E4	Q8NGV6
F6UTB0	A4FUC6	Q64LC9	Q8CI11	Q9NZV6
E2RMU2	A0A140T876	D3ZD89	Q922H2	P25205
E2RM82	F1MS56	B0BNM8	D6RDT4	Q1KMD3
E2RRC5	Q17QW4	Q9Z2A6	P97314	O60496
F1PKY2	F1MGX0	Q68FQ0	P38647	O95678
E2R020	F1MG57	F1LQX7	Q3TZX8	Q9UI46
J9NUF6	E1BBQ0	A0A096MIZ5	Q8BJQ2	Q9NPE3
Q9TQX6	F1MC36	Q6DGG9	Q00560	Q8TB72
J9NWT7	E1BH09	Q6AXU3	Q61194	Q9BWC9
E2RPG4	F1MMK2	D3ZJG8	Q9Z204	Q16773
F1P6K7	Q2HJG0	Q66HK3	Q9JM14	Q8NBZ0
F1Q475	A4IFD7	A0A0G2K5T5	L7N451	Q9Y6M5
F1PKC1	F1N3S2	F1LPA6	Q8BVW7	Q9Y4J8
J9P632	P61283	B1WC61	P16277	Q9H3K6
J9NVD0	A3KFF6	A0A0G2JT29	Q6PE87	Q5T280
F1PYS3	F1MS93	E9PTJ3	Q91YN0	Q9GZL7
F1PV84	A0A140T861	D4AC38	Q60952	Q6NZY4
F1PCX2	E1B9R5	F1M8I6	Q8R418	Q9NZD4
F1PXZ6	F1MP39	F1M6C4	Q9DB26	O14793
F1PQE0	Q08DP2	Q5I0K1	Q8JZR0	O75019
J9P7N4	Q1RMV0	Q9EPJ3	Q9CQE0	Q0VAF9
E2RRU1	E1B6Y1	Q5BK97	Q9WU02	Q9NZH0
E2QX25	F1MVS1	A0A0G2JXF9	E9Q6Y8	Q9C098
E2RGE9	F1MPZ9	Q4V8J6	Q61187	Q9P2B4
H9GWG2	F1MKA1	Q62834	P97875	Q5VZM2
F1PQU2	E1BGX7	Q6IMX3	P20444	P09681
E2RCK9	A7YWI9	A0A0G2K0H3	Q99K95	Q8N335
E2RAD0	F1N3F2	D4A769	Q921V3	P09430
E2RHS9	Q2HJ22	D4A784	Q9D4K7	Q9H0Q3
F1PT29	Q3ZBX5	B1WBN4	P83870	Q9Y623
E2R7L0	E1BMW2	A0A0A0MY07	Q6NZM9	P62266
E2RB62	A5PK86	Q4V7E1	Q8K1E6	P32241
J9NT16	F1MD26	O70188	P49117	P06127
J9JHV9	G3MXX3	A0A0G2K2R5	Q921P9	Q9H0U3
J9P4M8	Q2TBR0	B4F7F3	Q9D0F9	Q9H2L5
F1PGU6	Q1JQA2	F1LM93	P35235	Q9H4L4
E2RRB8	E1BC57	G3V6C0	Q9CZ04	Q5T2D3
F1PK60	F1MT63	F1M8D3	Q9CQW2	O75506
F1PNL7	A7MBB8	P26431	E9Q8Z7	Q96E11
E2QU91	P02721	P63047	Q9DCS2	B5BUB1
F1P852	E1BPW3	D3ZY89	P58196	Q9BU61
F1P7F9	A1A4L5	D3ZK29	Q3U3V8	Q9H7X7
F1PPU0	P0C2B8	D3ZPE6	Q05AH3	Q9GZR5
J9NZ70	Q1RMH8	P35233	Q8C120	P68871
F1PYL0	A6QR65	D4ADG2	Q8BKS9	Q9Y2Z4
F1PEA8	F1MNS4	Q3ZAU6	Q8BPK2	Q9NRA1
E2QSP7	F1MKL3	O88869	A0A0J9YV32	Q8IW90
J9NZD6	F1MMC0	D3ZQ48	Q6NZP1	P07205
E2RM84	E1BKV9	B1WC26	P47809	P37198
F1PWV9	E1BCU3	A0A0G2JYR4	Q32NY6	Q9ULS5
F1PIS5	Q32PK0	D3Z8I4	Q8R3L8	Q9P2N6
F1PSQ4	F1MMQ7	A0A0G2K7T5	O09172	O43172
E2R4I2	F1MSU2	Q3T1H2	M0QWK1	Q96M61
E2RJD6	F1N1A4	Q5PPN2	Q8BGR6	Q8NC60
E2RMM6	F1MD77	D4A6C4	Q80T74	B2RCZ4
F1PSB6	P00741	G3V8S7	P08043	H0YGT0
E2R703	F1MFN1	Q498E0	Q76I79	Q8WVS4
E2RGU7	Q2TA12	Q9JKB7	A0A0R4IZW8	Q8NB91
F1Q2N7	F1MUT9	Q63016	Q8BG36	Q9UGC7
E2R263	F1MS90	Q5XID1	Q8R5C5	P17096
F1PBV3	A7MB30	Q4V8E2	P60766	Q2VY69
E2RD11	E1BMK9	E9PTY0	G3X9H7	P09917
J9P2W5	F1MIJ6	F1M400	A0A1L1SSA4	Q86VI3
F1PTF1	F1MPM0	Q62796	Q91Y10	Q96C55
J9P268	F1MF87	A0A1W2Q693	Q8VDP2	Q86WK9
F6XA24	F1MW72	F1LSV0	Q80WM5	Q14232
F1P9D8	F1MBU8	D3ZW78	Q3U2N8	Q8TC90
F1PA60	F1N4N9	A0A1W2Q6M9	Q8R4G0	Q5SRE5
E2RPD0	A7Z086	F1M3A4	Q6PD28	O15212
E2R5Y1	E1BG75	P07727	Q99PH1	Q13308
E2RQ15	E1BAF7	G3V7C2	G5E825	Q15363
E2R7G5	F1MN65	F1LN03	Q9ER64	A6BM72
