co702 rt428
co12175 rt12171
co11468 rt5086
co13352 rt14771
co5302 rt13183
co3682 rt6952
co4812 rt5825
co11531 rt6016
co11531 rt7523
co7761 rt10820
co11099 rt10551
co3330 rt10351
co6176 rt6246
co6982 rt9639
co352 rt4171
co12571 rt11329
co407 rt2337
co5744 rt7198
co12070 rt2858
co6668 rt6292
co6668 rt10475
co10122 rt14134
co10427 rt8159
co3769 rt10117
co6230 rt6555
co6230 rt8903
co6230 rt12649
co7238 rt6778
co9130 rt8629
co13281 rt7586
co3931 rt11363
co7630 rt11363
co1644 rt15399
co9159 rt9844
co6421 rt2382
co13671 rt2382
co9692 rt10571
co10184 rt2243
co13347 rt9518
co9373 rt6178
co1130 rt9478
co1130 rt13698
co6971 rt8500
co6878 rt5180
co2797 rt8485
co3581 rt3747
co11795 rt4974
co8087 rt10074
co8010 rt8518
co2273 rt6140
co2273 rt11289
co9747 rt6849
co11125 rt15198
co1002 rt14197
co4407 rt13801
co3590 rt1740
co12482 rt9699
co9625 rt12885
co10335 rt788
co6370 rt15388
co168 rt9282
co14242 rt5986
co2366 rt2276
co9269 rt8684
co9848 rt8684
co12473 rt8597
co9086 rt8759
co10008 rt10279
co9684 rt3485
co6007 rt3115
co10538 rt12797
co4987 rt11302
co4987 rt15039
co10114 rt11302
co10114 rt15039
co14410 rt14910
co13878 rt11714
co13258 rt6646
co5479 rt13780
co10743 rt3836
co10743 rt14185
co8306 rt6621
co5866 rt11472
co1022 rt7170
co13927 rt13753
co4067 rt6737
co4067 rt13927
co5027 rt831
co8493 rt2951
co7525 rt4785
co14406 rt9728
co12678 rt12329
co10277 rt2181
co5412 rt12024
co11153 rt13919
co6775 rt144
co5499 rt5968
co3075 rt15557
co10612 rt3412
co2266 rt2783
co2266 rt15722
co14579 rt2695
co9777 rt4696
co12558 rt4696
co13633 rt13186
co8223 rt4837
co4431 rt8523
co14372 rt5854
co14372 rt8076
co9216 rt4293
co9216 rt13222
co10877 rt1719
co12034 rt5383
co2338 rt7782
co2338 rt12909
co13747 rt15085
co12741 rt10553
co4414 rt13187
co4681 rt7875
co6571 rt3562
co8403 rt13466
co14615 rt13997
co10480 rt14418
co14163 rt5273
co7836 rt6860
co11211 rt13686
co14740 rt14959
co8659 rt8176
co2961 rt13831
co12060 rt13516
co3730 rt10995
co14678 rt8739
co6532 rt10408
co1617 rt12945
co9913 rt13351
co5972 rt4285
co7457 rt3674
co7457 rt6364
co7457 rt13594
co5016 rt13353
co1010 rt11880
co5727 rt5171
co14585 rt8717
co2188 rt2024
co9691 rt12744
co10936 rt12491
co10936 rt14276
co2853 rt8479
co3378 rt15325
co2485 rt5894
co7474 rt7480
co5945 rt10628
co9541 rt1268
co950 rt8875
co7790 rt4762
co12555 rt3677
co14073 rt11930
co14073 rt12127
co8550 rt14886
co1681 rt12807
co3241 rt2698
co4214 rt3036
co14745 rt3344
co10592 rt12551
co3722 rt1964
co3130 rt3625
co2556 rt5392
co2556 rt11127
co2556 rt13818
co2235 rt11733
co13575 rt9366
co6646 rt1479
co176 rt9733
co1631 rt4907
co1631 rt10666
co831 rt6165
co6605 rt3403
co10791 rt13128
co3417 rt13483
co2698 rt4908
co14676 rt4442
co5093 rt11254
co3802 rt7541
co925 rt4166
co2183 rt15243
co8654 rt15243
co894 rt118
co6716 rt6756
co12825 rt5707
co6267 rt12674
co4103 rt13502
co7149 rt3317
co821 rt711
co8215 rt282
co12903 rt12483
co5977 rt535
co13138 rt577
co13138 rt10493
co13138 rt15407
co9559 rt13853
co3210 rt12527
co9112 rt10173
co5920 rt10734
co1333 rt2506
co1333 rt3368
co1333 rt14532
co3683 rt11203
co9820 rt7958
co540 rt3545
co2507 rt1748
co7103 rt7332
co13377 rt209
co13292 rt2977
co9208 rt636
co9208 rt11170
co9208 rt15604
co12524 rt9546
co7672 rt4759
co289 rt3711
co2236 rt3370
co7803 rt3370
co11112 rt10623
co11112 rt12135
co1271 rt5851
co1821 rt3580
co254 rt8985
co2433 rt2901
co2433 rt3481
co6732 rt9160
co366 rt874
co630 rt7886
co1108 rt3405
co3909 rt1901
co3909 rt12378
co11291 rt6249
co283 rt1886
co283 rt2533
co4985 rt3981
co392 rt2351
co5813 rt4487
co10918 rt3622
co10529 rt303
co10529 rt1252
co10529 rt7591
co11879 rt303
co11879 rt1252
co11879 rt7591
co10359 rt11393
co10058 rt14950
co12708 rt15003
co9083 rt4424
co6162 rt6397
co9256 rt2705
co4056 rt1764
co14378 rt1464
co12323 rt13317
co7301 rt684
co7301 rt3470
co13006 rt5221
co4494 rt8873
co13356 rt11500
co4974 rt10539
co7466 rt6665
co7954 rt11068
co14716 rt2737
co8781 rt4146
co14243 rt12436
co10654 rt6161
co12883 rt2049
co11393 rt10885
co11393 rt13926
co4825 rt3048
co13136 rt3824
co2548 rt13155
co14511 rt6357
co7237 rt2691
co11027 rt3905
co10945 rt5607
co11428 rt15247
co11987 rt8245
co11987 rt10305
co11987 rt12549
co11987 rt14974
co6851 rt6814
co2594 rt2396
co10137 rt10739
co11051 rt14173
co1140 rt9680
co14026 rt15073
co13675 rt6410
co8472 rt1021
co8472 rt13998
co2516 rt3856
co2516 rt6041
co10829 rt11591
co3494 rt4055
co11301 rt2290
co11301 rt8768
co4859 rt9506
co13293 rt1658
co4202 rt857
co8132 rt2185
co12578 rt5401
co4630 rt13867
co4630 rt15707
co11875 rt2454
co3979 rt464
co8311 rt464
co10005 rt5342
co13011 rt7758
co1752 rt5669
co8307 rt2359
co9803 rt14292
co4081 rt8386
co5041 rt7702
co13137 rt1167
co5882 rt7276
co916 rt2615
co13762 rt2158
co13961 rt10073
co12827 rt12844
co12827 rt15738
co13332 rt1078
co13332 rt7132
co11971 rt5084
co6929 rt6053
co8919 rt10548
co11792 rt9914
co11792 rt10469
co12793 rt3402
co12793 rt5967
co14491 rt11339
co9878 rt14942
co14161 rt10451
co1557 rt12396
co14418 rt1417
co12767 rt4553
co7329 rt4205
co7329 rt12145
co13470 rt8895
co5401 rt14551
co3044 rt14278
co6792 rt373
co11768 rt12501
co9752 rt5078
co6883 rt10040
co14396 rt5283
co8133 rt12718
co10527 rt160
co8235 rt7623
co1587 rt4909
co14726 rt9128
co12997 rt5552
co9926 rt4449
co12944 rt2655
co3439 rt3197
co2414 rt12017
co2414 rt15732
co7188 rt12678
co14250 rt5706
co14233 rt12892
co10042 rt9571
co14531 rt1814
co9088 rt8751
co4021 rt5650
co5110 rt205
co5110 rt799
co6680 rt2956
co13114 rt6254
co10524 rt422
co8706 rt5777
co8706 rt12960
co11883 rt4073
co2654 rt4066
co2376 rt9230
co11994 rt9772
co6222 rt14589
co2823 rt11342
co6083 rt2254
co8749 rt3334
co10190 rt2743
co6064 rt1880
co93 rt438
co8726 rt14768
co11280 rt3694
co1139 rt10926
co4545 rt6939
co7915 rt6083
co6088 rt7087
co9024 rt11178
co3408 rt2014
co3656 rt6366
co13460 rt14075
co5612 rt13458
co12249 rt11826
co11963 rt12504
co13212 rt12504
co2390 rt4004
co13851 rt12026
co3956 rt7823
co9379 rt604
co9379 rt9224
co3634 rt546
co11852 rt546
co3493 rt5540
co13565 rt6924
co9232 rt7486
co6949 rt521
co6949 rt13111
co6949 rt14084
co206 rt279
co11172 rt2198
co11172 rt6279
co11293 rt12440
co8233 rt15527
co12541 rt15234
co9017 rt13188
co6756 rt5395
co4690 rt5047
co4690 rt12403
co2010 rt10110
co2478 rt13016
co2201 rt885
co2100 rt597
co2100 rt1185
co5039 rt8449
co7678 rt5721
co7678 rt12320
co2204 rt15532
co13120 rt3532
co1797 rt5901
co3348 rt14316
co3861 rt11292
co7663 rt15116
co12 rt11867
co14312 rt192
co1109 rt5066
co14030 rt6750
co9422 rt7124
co13458 rt4531
co13458 rt6406
co6313 rt8819
co5009 rt11406
co219 rt6837
co6483 rt15623
co10970 rt3802
co12889 rt8180
co12889 rt10139
co5465 rt2053
co3897 rt12480
co12081 rt1779
co11870 rt140
co11870 rt11431
co7912 rt8232
co9290 rt4562
co8808 rt4946
co5748 rt1993
co5748 rt15333
co14323 rt4368
co173 rt2472
co9594 rt2286
co9594 rt15060
co4627 rt11191
co6575 rt10754
co11352 rt15439
co14475 rt12405
co9773 rt11649
co2011 rt3320
co6108 rt13107
co9929 rt13858
co12412 rt12922
co7044 rt59
co2434 rt13846
co3189 rt27
co9396 rt8123
co9396 rt13628
co4382 rt11520
co6992 rt10497
co1494 rt6000
co8152 rt6000
co10436 rt6000
co3622 rt6378
co9693 rt5682
co6171 rt6291
co6171 rt7265
co13398 rt5771
co8998 rt4411
co394 rt3383
co7169 rt4395
co10169 rt4395
co5833 rt10994
co3715 rt1516
co12202 rt1612
co2910 rt2343
co2910 rt12362
co5138 rt8956
co4645 rt330
co4645 rt12510
co5703 rt9403
co5703 rt10541
co6256 rt7608
co6256 rt12059
co8448 rt9887
co12429 rt11654
co1905 rt3584
co5668 rt1841
co1670 rt859
co1670 rt10509
co6033 rt8437
co11039 rt10457
co11039 rt12966
co2722 rt6689
co12000 rt8166
co860 rt15227
co8977 rt721
co6746 rt13804
co6104 rt8418
co1442 rt7065
co6706 rt3430
co6706 rt9824
co11761 rt11298
co5154 rt13653
co3588 rt14104
co8528 rt14104
co7388 rt10353
co7388 rt14794
co8467 rt11102
co242 rt14885
co8156 rt10938
co13702 rt2727
co13129 rt6424
co13129 rt14939
co7078 rt1054
co7078 rt7133
co12281 rt10228
co12281 rt11863
co12281 rt14151
co2822 rt1663
co13034 rt10430
co5386 rt1446
co11992 rt14935
co12589 rt14935
co8603 rt9541
co8603 rt15652
co6430 rt10220
co3115 rt14390
co11408 rt12215
co9566 rt10131
co3587 rt1428
co3587 rt6190
co4229 rt4046
co5288 rt11036
co12240 rt12764
co14255 rt7074
co718 rt3813
co12029 rt13144
co12029 rt15041
co8786 rt7092
co8786 rt12428
co7918 rt10651
co12677 rt11014
co11356 rt5956
co11356 rt9644
co2604 rt9400
co1390 rt8105
co5516 rt5029
co6631 rt2433
co8047 rt9143
co10769 rt6307
co10769 rt10474
co6843 rt7037
co10179 rt4115
co4284 rt3505
co4284 rt15578
co12055 rt3505
co12055 rt15578
co2439 rt10404
co2249 rt2553
co2249 rt3804
co13514 rt87
co1003 rt11987
co14583 rt14821
co11771 rt3645
co2292 rt4606
co3050 rt1603
co11337 rt12644
co7685 rt1022
co5713 rt71
co2981 rt879
co2981 rt2170
co10611 rt1751
co4546 rt39
co13852 rt108
co3864 rt138
co13284 rt185
co9382 rt257
co9254 rt298
co10103 rt322
co9074 rt337
co8937 rt507
co1773 rt545
co1763 rt612
co13438 rt619
co871 rt621
co9342 rt629
co6140 rt690
co6051 rt710
co7657 rt753
co13279 rt760
co9214 rt901
co14339 rt952
co13890 rt1038
co8237 rt1055
co12977 rt1194
co11844 rt1288
co14576 rt1353
co8325 rt1372
co7317 rt1450
co11920 rt1610
co14027 rt1613
co6624 rt1761
co8137 rt1798
co836 rt1883
co13560 rt1916
co3526 rt1932
co13698 rt1949
co7447 rt2019
co8845 rt2107
co12013 rt2137
co4540 rt2166
co13650 rt2327
co1025 rt2342
co9981 rt2401
co5580 rt2493
co2891 rt2550
co4500 rt2634
co3668 rt2665
co14470 rt2681
co7664 rt2711
co3290 rt2781
co7868 rt2782
co7868 rt4277
co3911 rt2793
co6544 rt2809
co8103 rt2849
co11326 rt2895
co8165 rt2906
co3841 rt3002
co2301 rt3031
co14606 rt3035
co13069 rt3207
co9596 rt470
co9596 rt3226
co3229 rt3278
co5837 rt3286
co7923 rt3365
co10775 rt3449
co12425 rt3509
co8305 rt3533
co13647 rt3538
co9268 rt3548
co14382 rt3574
co4295 rt3611
co102 rt3778
co2041 rt3796
co12803 rt3799
co11386 rt3822
co424 rt3930
co13699 rt3949
co10441 rt3995
co9280 rt4008
co5679 rt4120
co12854 rt4250
co13824 rt4279
co5643 rt4421
co12878 rt4511
co7133 rt4518
co8458 rt4527
co11764 rt4598
co7772 rt4623
co5312 rt4624
co13712 rt4744
co13689 rt4748
co8329 rt4750
co5240 rt4834
co13732 rt4850
co26 rt4851
co12515 rt4891
co12193 rt4915
co7539 rt4930
co1291 rt5027
co8510 rt5051
co2549 rt5124
co13093 rt5356
co4667 rt5384
co3833 rt5404
co6991 rt5469
co5272 rt5589
co3557 rt5601
co8802 rt5605
co1480 rt5718
co5644 rt5761
co9986 rt5790
co2109 rt5837
co3559 rt5843
co4570 rt5963
co6442 rt6057
co13074 rt6143
co7574 rt6186
co13107 rt6213
co9070 rt6218
co13736 rt6252
co5558 rt6290
co4870 rt6296
co13115 rt6361
co9312 rt6405
co5840 rt6427
co12507 rt6443
co8304 rt6539
co8418 rt6545
co10063 rt6591
co5660 rt6593
co202 rt6692
co238 rt6735
co12736 rt6748
co7428 rt6812
co1713 rt6835
co9641 rt6913
co9743 rt6929
co8665 rt6989
co11441 rt7007
co4931 rt7076
co3534 rt7085
co11871 rt7048
co11871 rt7101
co6899 rt7148
co9411 rt7158
co5773 rt7201
co10822 rt7266
co14355 rt7287
co12750 rt7357
co3452 rt7372
co12960 rt7386
co5329 rt7399
co8942 rt7418
co10026 rt7536
co3663 rt7616
co9299 rt7654
co13632 rt7668
co11247 rt7682
co4451 rt7703
co13104 rt7739
co14704 rt7751
co10091 rt7977
co5740 rt8057
co9897 rt8103
co14334 rt8114
co339 rt8200
co13244 rt8202
co1544 rt8203
co1470 rt8205
co13587 rt8369
co3091 rt8392
co2142 rt8412
co5774 rt8473
co4521 rt8505
co8114 rt8524
co9482 rt8571
co13734 rt8617
co12776 rt8643
co11653 rt8652
co3114 rt8672
co4784 rt8674
co7427 rt8696
co13871 rt8711
co5919 rt7090
co5919 rt8718
co12791 rt8726
co10624 rt8730
co13193 rt8783
co14010 rt8850
co14211 rt8886
co2287 rt8902
co7647 rt8916
co4595 rt8922
co7699 rt8930
co13636 rt8935
co9647 rt8989
co9925 rt9004
co9022 rt9082
co3902 rt9115
co7621 rt9139
co2741 rt9179
co5179 rt9232
co11257 rt9233
co11343 rt9249
co10635 rt9266
co10044 rt9269
co1892 rt9306
co1465 rt9367
co13323 rt9370
co9215 rt9460
co4744 rt9464
co3867 rt9517
co2837 rt9540
co12355 rt9585
co8976 rt9661
co10728 rt9702
co13216 rt9788
co6280 rt9866
co9858 rt9889
co12717 rt10134
co118 rt10138
co6302 rt10194
co3745 rt10225
co13681 rt10278
co4941 rt10319
co597 rt10461
co12140 rt10490
co4693 rt10568
co14216 rt10574
co9184 rt10622
co11228 rt10640
co10821 rt8175
co10821 rt10685
co7151 rt10768
co9480 rt10847
co14586 rt10880
co10944 rt11010
co14608 rt11015
co7177 rt11086
co10526 rt11108
co11522 rt11150
co13133 rt8869
co13133 rt11206
co1244 rt11217
co13243 rt11373
co2092 rt11385
co3681 rt11493
co10324 rt11575
co5068 rt11582
co14125 rt11667
co5267 rt11690
co7535 rt11730
co7226 rt11760
co11958 rt11780
co13487 rt11816
co5587 rt11841
co939 rt12009
co13198 rt12037
co8791 rt12056
co11072 rt12078
co4070 rt4409
co4070 rt12095
co10841 rt12126
co1595 rt12157
co6466 rt12202
co9142 rt12229
co10439 rt12400
co14148 rt12406
co882 rt12473
co5719 rt12593
co1729 rt12624
co10802 rt12660
co2067 rt12759
co11559 rt12792
co11724 rt12809
co9151 rt12818
co13195 rt12927
co12333 rt12939
co14268 rt12942
co2903 rt12957
co6359 rt12959
co3239 rt12967
co12735 rt12974
co10890 rt13024
co2220 rt13049
co14781 rt13115
co13539 rt13142
co9428 rt13147
co9399 rt13166
co11721 rt13339
co4123 rt13451
co1338 rt13494
co380 rt13531
co9762 rt13535
co3608 rt13570
co9281 rt13577
co3828 rt13720
co10629 rt1821
co10629 rt13763
co14357 rt11195
co14357 rt13825
co3642 rt13844
co10023 rt13847
co10920 rt13887
co12402 rt13894
co13264 rt13909
co8687 rt13915
co6727 rt13951
co6110 rt13957
co5893 rt13982
co14307 rt14013
co7745 rt14016
co6846 rt14051
co10198 rt14165
co12096 rt14187
co11127 rt14255
co12378 rt14275
co13595 rt14327
co2253 rt14330
co10695 rt14367
co646 rt14399
co12714 rt14403
co10768 rt14426
co10377 rt14443
co12868 rt14463
co5512 rt14656
co5753 rt14658
co2017 rt14721
co322 rt14728
co3242 rt14733
co10080 rt14749
co4118 rt14779
co6557 rt14788
co12386 rt14865
co11774 rt14941
co8548 rt14993
co8588 rt15031
co9892 rt15058
co11202 rt15091
co12988 rt15093
co7252 rt15151
co8940 rt15169
co1157 rt15217
co13097 rt15328
co11628 rt15361
co13389 rt15417
co5291 rt15435
co1508 rt15486
co4377 rt15501
co3160 rt15506
co543 rt15522
co3071 rt112
co14245 rt515
co2543 rt740
co913 rt1447
co13179 rt1702
co14502 rt220
co14502 rt1836
co11719 rt2065
co3610 rt2766
co10413 rt2950
co6666 rt3204
co9213 rt3637
co8740 rt4684
co13224 rt4711
co810 rt4779
co12387 rt4949
co1450 rt5175
co3399 rt5175
co10911 rt5816
co11438 rt5896
co13942 rt5989
co11822 rt6223
co2016 rt6242
co8405 rt6429
co14718 rt6769
co10750 rt6990
co8945 rt7179
co12619 rt7412
co2780 rt7643
co3296 rt7729
co9193 rt7845
co14111 rt7973
co1739 rt8228
co9511 rt8384
co9167 rt8529
co5143 rt8634
co11519 rt8844
co9624 rt9289
co4465 rt9690
co10019 rt9988
co11833 rt10286
co6831 rt1453
co6831 rt10495
co5942 rt10567
co12148 rt10673
co6080 rt10701
co8037 rt11054
co13981 rt11176
co4917 rt11215
co6259 rt11713
co11983 rt11743
co63 rt11797
co8041 rt11997
co12801 rt12005
co3523 rt12286
co1714 rt12383
co9523 rt12452
co4729 rt13252
co7939 rt13448
co12656 rt13684
co6820 rt13705
co7889 rt13705
co14550 rt13993
co11756 rt14307
co11369 rt14579
co12192 rt14770
co12184 rt14924
co4524 rt15140
co8321 rt8016
co4113 rt3016
co11616 rt6046
co11616 rt7073
co8714 rt459
co2914 rt5587
co6720 rt148
co13985 rt312
co2843 rt415
co265 rt634
co1976 rt823
co474 rt883
co681 rt883
co6536 rt1220
co2712 rt1393
co9905 rt1655
co7847 rt1752
co7996 rt1793
co1131 rt1942
co2596 rt2132
co1439 rt2233
co5242 rt2387
co11640 rt2387
co4093 rt2679
co14596 rt2777
co8503 rt2876
co2713 rt3266
co3281 rt3577
co13433 rt3630
co7279 rt3767
co9043 rt3767
co12770 rt4135
co3940 rt4249
co4234 rt4351
co8594 rt4381
co9907 rt5028
co11402 rt5301
co9562 rt5377
co9780 rt5422
co3672 rt5430
co10978 rt5773
co10978 rt9102
co10978 rt12958
co10978 rt14387
co11627 rt5877
co974 rt6084
co8788 rt6651
co7483 rt6727
co10733 rt6864
co3240 rt6966
co6474 rt7036
co4684 rt7433
co13898 rt7556
co6749 rt7634
co3278 rt7914
co7777 rt7983
co4274 rt8031
co9815 rt8450
co10293 rt8561
co14466 rt8943
co3027 rt9188
co259 rt9477
co6986 rt10036
co11688 rt10036
co6444 rt10257
co10681 rt10427
co13774 rt10507
co14018 rt10950
co1378 rt11045
co5297 rt11265
co11973 rt11371
co8739 rt11698
co2158 rt12109
co8108 rt12573
co1332 rt12902
co3097 rt13063
co7171 rt13063
co2351 rt13197
co12307 rt14690
co11047 rt15103
co3990 rt15332
co7949 rt11864
co7949 rt15346
co2571 rt15441
co12220 rt5644
co14610 rt5780
co10506 rt6392
co11819 rt8143
co11115 rt8381
co7882 rt8430
co12514 rt10860
co12769 rt13311
co13421 rt14847
co1778 rt2974
co6880 rt715
co10894 rt10453
co11669 rt863
co11370 rt6713
co2403 rt870
co1203 rt9017
co4096 rt3179
co11503 rt735
co2479 rt7070
co2356 rt14534
co1172 rt2717
co12870 rt12150
co5076 rt8338
co10370 rt3025
co2728 rt13819
co775 rt14541
co5152 rt2731
co1445 rt14723
co9362 rt6470
co814 rt1044
co3390 rt1703
co7497 rt5295
co12061 rt6658
co10199 rt9124
co7524 rt15379
co11425 rt13575
co7650 rt4042
co1678 rt4342
co1678 rt14597
co8638 rt4137
co8638 rt9945
co8638 rt10598
co4334 rt10322
co7386 rt5910
co7779 rt2441
co3243 rt3205
co13835 rt7868
co7887 rt12199
co3412 rt10806
co10410 rt6492
co7733 rt3394
co7733 rt12328
co12907 rt9620
co8013 rt11210
co11317 rt7452
co11317 rt14706
co6512 rt4065
co6512 rt6867
co6094 rt1153
co3690 rt3752
co11008 rt15052
co12398 rt14079
co5878 rt9161
co3487 rt15484
co8920 rt10462
co6827 rt1804
co9561 rt9142
co3245 rt6570
co10782 rt4018
co14158 rt12165
co4160 rt9958
co5004 rt12612
co8702 rt14384
co8702 rt15230
co8702 rt15637
co14071 rt1009
co9409 rt7182
co5929 rt9580
co5157 rt7431
co8745 rt1991
co8263 rt5606
co4346 rt14842
co11158 rt9474
co9375 rt3572
co9375 rt9273
co11090 rt11387
co5682 rt9671
co2278 rt3159
co2946 rt6776
co12047 rt9645
co10694 rt13624
co1691 rt2479
co2985 rt4613
co9665 rt7507
co8784 rt5004
co5225 rt250
co13300 rt11179
co11415 rt7844
co2087 rt8451
co6055 rt7183
co2932 rt5752
co2932 rt9052
co1134 rt9277
co14261 rt10125
co3099 rt6992
co7640 rt9803
co7640 rt15474
co4588 rt12397
co5619 rt8492
co5619 rt9465
co5619 rt13184
co9398 rt7581
co7223 rt11599
co872 rt13241
co8653 rt5237
co12642 rt10249
co12642 rt10679
co9173 rt2912
co9173 rt3839
co10557 rt7626
co4918 rt10496
co4918 rt13845
co7408 rt14383
co7408 rt14406
co10664 rt6523
co10664 rt9430
co10664 rt13750
co10247 rt10858
co13858 rt12546
co10553 rt4679
co7776 rt1543
co9126 rt14419
co6755 rt10297
co2062 rt4612
co8195 rt10638
co10048 rt2947
co3628 rt3163
co3859 rt14055
co2333 rt4433
co2333 rt13456
co11170 rt14767
co9414 rt12919
co2387 rt14926
co11060 rt10911
co867 rt15155
co12205 rt6994
co5230 rt13258
co5108 rt4960
co2497 rt13402
co314 rt14802
co13192 rt8428
co13192 rt13652
co4265 rt2624
co978 rt527
co4333 rt2174
co1301 rt2051
co2058 rt5304
co2058 rt8926
co3379 rt5304
co3379 rt8926
co5188 rt5304
co5188 rt8926
co559 rt38
co14659 rt40
co13966 rt51
co1660 rt84
co3635 rt146
co1555 rt392
co9733 rt1554
co6582 rt2139
co377 rt2262
co5722 rt3058
co3036 rt3132
co3770 rt3132
co4089 rt3290
co4834 rt3442
co6186 rt4885
co3556 rt4956
co10785 rt4976
co4314 rt5443
co7874 rt5871
co432 rt5926
co11340 rt6230
co3028 rt7061
co8012 rt7142
co7701 rt7262
co6410 rt7569
co2205 rt8048
co6998 rt8429
co3341 rt8542
co815 rt8678
co2261 rt8782
co12427 rt9057
co11581 rt9319
co7888 rt9384
co7940 rt10445
co10017 rt10637
co931 rt11232
co14068 rt12244
co4331 rt12517
co1320 rt12823
co7221 rt13682
co1583 rt13946
co589 rt14091
co4867 rt14091
co14340 rt14248
co7948 rt14448
co3269 rt14661
co10633 rt14790
co1110 rt14967
co9856 rt4148
co12705 rt6114
co8102 rt6382
co9827 rt6891
co1695 rt6935
co14213 rt7175
co6434 rt9123
co7280 rt10523
co7977 rt10523
co14747 rt12829
co1993 rt412
co3830 rt6414
co5497 rt137
co5497 rt12158
co10246 rt1235
co243 rt15499
co4463 rt5371
co14181 rt5418
co11287 rt3120
co14505 rt3224
co10573 rt3348
co9605 rt10959
co236 rt941
co13993 rt1909
co13231 rt13722
co2035 rt3662
co6946 rt3662
co2552 rt10167
co2552 rt13601
co7469 rt5431
co9247 rt523
co2607 rt2631
co2607 rt14986
co8785 rt8733
co12640 rt1520
co12143 rt3569
co6823 rt10851
co5252 rt6738
co1761 rt99
co8040 rt5603
co6561 rt996
co6561 rt1448
co13874 rt13011
co2137 rt2672
co687 rt15418
co12782 rt10224
co1042 rt3431
co12897 rt1137
co12897 rt1706
co10534 rt13873
co12925 rt14682
co14299 rt5921
co13125 rt2088
co264 rt6862
co264 rt8299
co11426 rt5063
co51 rt3516
co5349 rt14335
co6521 rt5400
co10081 rt5168
co2127 rt6927
co6218 rt2020
co11629 rt9040
co3742 rt1338
co2166 rt6749
co4303 rt9901
co5360 rt6139
co13412 rt921
co13412 rt12324
co14432 rt8998
co2211 rt11307
co8746 rt1531
co1133 rt1245
co1133 rt6678
co1133 rt12253
co2291 rt2157
co9122 rt2157
co7855 rt3820
co2646 rt14873
co6348 rt12447
co1191 rt6025
co1857 rt4987
co12430 rt6962
co5542 rt5531
co9443 rt14138
co1573 rt2407
co3938 rt13768
co5991 rt10645
co7378 rt9647
co4126 rt5077
co10789 rt4822
co7637 rt2903
co9170 rt1456
co9170 rt4082
co9170 rt11924
co7937 rt8975
co13697 rt9459
co4517 rt1397
co4517 rt5455
co6099 rt10024
co4787 rt6073
co385 rt6965
co3601 rt2741
co11539 rt2852
co3912 rt4794
co8821 rt8051
co8821 rt12257
co8735 rt7956
co10401 rt567
co10469 rt567
co11937 rt567
co12885 rt1879
co4405 rt4914
co4405 rt8296
co14604 rt6388
co14604 rt9662
co13305 rt14741
co14703 rt14273
co5173 rt9485
co2141 rt2318
co1504 rt14564
co9946 rt3503
co9946 rt13464
co8994 rt1557
co2888 rt1334
co3794 rt5525
co3323 rt6087
co1389 rt13660
co2022 rt13660
co8504 rt15665
co8916 rt4382
co12331 rt7853
co12942 rt124
co7694 rt8838
co12440 rt2767
co1514 rt391
co11725 rt8088
co8573 rt5705
co13536 rt4054
co8869 rt478
co8869 rt3389
co8869 rt3401
co8869 rt5949
co8869 rt9009
co8869 rt13493
co8869 rt15559
co960 rt1559
co960 rt15597
co319 rt2004
co12290 rt5863
co3430 rt13609
co7217 rt7544
co4934 rt8662
co7214 rt8662
co1245 rt5821
co932 rt1517
co1419 rt14152
co1419 rt15705
co7022 rt4817
co6115 rt15124
co129 rt918
co129 rt11786
co3679 rt11007
co8107 rt773
co8107 rt10328
co6144 rt9754
co5572 rt14306
co7707 rt1381
co1161 rt5394
co8322 rt3469
co8322 rt5602
co11064 rt15237
co11908 rt562
co3113 rt9466
co10139 rt4253
co4177 rt7367
co14696 rt2332
co10104 rt4346
co1406 rt4289
co5924 rt11819
co13673 rt11012
co12054 rt3770
co8696 rt1900
co12839 rt9228
co13113 rt1217
co119 rt3156
co1985 rt7370
co4596 rt7370
co11664 rt9155
co9107 rt4069
co14649 rt11496
co7984 rt4344
co11668 rt11928
co14542 rt8370
co14542 rt10330
co14542 rt10476
co1082 rt12458
co1082 rt12811
co1082 rt14266
co4590 rt7406
co4590 rt9800
co4590 rt12168
co942 rt10189
co12024 rt9088
co10196 rt6495
co9982 rt8738
co9982 rt13565
co691 rt5396
co10161 rt1962
co6588 rt15289
co10007 rt7139
co8857 rt13306
co8857 rt13677
co11167 rt7987
co9520 rt6773
co3454 rt10821
co11899 rt5966
co247 rt8071
co4171 rt168
co4171 rt3052
co4171 rt10853
co9839 rt9103
co5674 rt9691
co7635 rt14738
co4922 rt2935
co4922 rt6563
co4922 rt11396
co11381 rt7202
co10983 rt5097
co10745 rt644
co3208 rt3526
co8566 rt800
co8049 rt8806
co8709 rt4144
co13226 rt9435
co8238 rt7342
co1929 rt6499
co2316 rt10081
co10620 rt3651
co10620 rt11564
co3908 rt1237
co1639 rt4290
co11662 rt3219
co829 rt9112
co5339 rt6710
co11304 rt5361
co6130 rt2991
co6130 rt8280
co6130 rt12200
co13680 rt14881
co3518 rt6675
co3640 rt6847
co5402 rt10836
co6564 rt11868
co12700 rt6704
co9042 rt8054
co2118 rt12950
co7717 rt6317
co1469 rt3784
co7756 rt3784
co9967 rt10788
co4391 rt6578
co13065 rt6473
co8002 rt11790
co11124 rt5588
co13992 rt5588
co10520 rt7531
co363 rt1812
co7220 rt12580
co11018 rt10187
co13359 rt10187
